순,이름,팀/포지션,정렬용,타석,득점,주루기회,RS%,RAA주루,G12_N,G12_%,G23_N,G23_%,G34_N,G34_%,F23_N,F23_%,F34_N,F34_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,EtcAdv,추가진루_N,추가진루_%,추가진루_+-,주루사_N,주루사_%
54,정주현,23L1B, 0.62 , 101 , 17 , 67 , 23.9 , 0.62 , 4 , 44.4 , 4 , 50.0 , 2 , 100.0 , 0 , 0.0 , 1 , 100.0 , 4 , 44.4 , 5 , 100.0 , 1 , 33.3 , 1 , 22 , 53.7 , 3 , 1 , 2.44 
55,이성규,23삼CF, 0.62 , 162 , 23 , 67 , 32.8 , 0.62 , 4 , 36.4 , 5 , 62.5 , 2 , 100.0 , 1 , 50.0 , 0 ,  , 0 , 0.0 , 6 , 100.0 , 0 ,  , 0 , 18 , 52.9 , 1 , 1 , 2.94 
56,고승민,23롯1B, 0.61 , 307 , 35 , 119 , 27.7 , 0.61 , 5 , 31.3 , 6 , 50.0 , 4 , 57.1 , 1 , 20.0 , 4 , 66.7 , 5 , 27.8 , 8 , 66.7 , 3 , 50.0 , 1 , 37 , 44.6 , 1 , 2 , 2.41 
57,천재환,23NCF, 0.60 , 179 , 12 , 66 , 15.2 , 0.60 , 3 , 23.1 , 3 , 75.0 , 2 , 66.7 , 3 , 100.0 , 2 , 66.7 , 1 , 16.7 , 2 , 66.7 , 1 , 25.0 , 0 , 17 , 43.6 , 1 , 1 , 2.56 
58,정준영,23KCF, 0.60 , 55 , 6 , 26 , 23.1 , 0.60 , 1 , 100.0 , 1 , 100.0 , 1 , 50.0 , 1 , 50.0 , 2 , 100.0 , 2 , 50.0 , 0 ,  , 1 , 100.0 , 0 , 9 , 69.2 , 3 , 0 , 0.00 
59,김호령,23KCF, 0.60 , 107 , 16 , 44 , 36.4 , 0.60 , 2 , 40.0 , 6 , 85.7 , 1 , 100.0 , 0 , 0.0 , 1 , 100.0 , 1 , 25.0 , 5 , 83.3 , 0 ,  , 0 , 16 , 55.2 , -1 , 0 , 0.00 
60,최정용,23K2B, 0.54 , 41 , 17 , 37 , 46.0 , 0.54 , 3 , 50.0 , 2 , 50.0 , 0 , 0.0 , 2 , 66.7 , 2 , 100.0 , 4 , 40.0 , 5 , 83.3 , 0 , 0.0 , 0 , 18 , 54.5 , 3 , 1 , 3.03 
61,오윤석,23K1B, 0.54 , 223 , 24 , 87 , 23.0 , 0.54 , 5 , 45.5 , 4 , 44.4 , 0 , 0.0 , 0 , 0.0 , 2 , 100.0 , 2 , 18.2 , 4 , 44.4 , 0 , 0.0 , 0 , 17 , 35.4 , -5 , 0 , 0.00 
62,홍종표,23K2B, 0.53 , 12 , 10 , 26 , 38.5 , 0.53 , 3 , 60.0 , 1 , 50.0 , 1 , 50.0 , 1 , 100.0 , 1 , 100.0 , 2 , 40.0 , 1 , 25.0 , 0 ,  , 0 , 10 , 50.0 , 1 , 0 , 0.00 
63,피렐라,23삼LF, 0.49 , 605 , 66 , 238 , 21.0 , 0.49 , 5 , 19.2 , 11 , 68.8 , 3 , 42.9 , 0 , 0.0 , 5 , 83.3 , 14 , 46.7 , 7 , 50.0 , 4 , 100.0 , 3 , 52 , 46.8 , 7 , 7 , 6.31 
64,신민재,23L2B, 0.48 , 331 , 47 , 169 , 27.8 , 0.48 , 11 , 50.0 , 6 , 60.0 , 3 , 37.5 , 2 , 33.3 , 6 , 85.7 , 11 , 61.1 , 6 , 46.2 , 3 , 75.0 , 2 , 50 , 55.6 , 12 , 6 , 6.67 
65,배영빈,23롯SS, 0.47 , 18 , 2 , 13 , 15.4 , 0.47 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 2 , 100.0 , 1 , 100.0 , 0 ,  , 0 , 5 , 100.0 , 3 , 0 , 0.00 
66,김수환,23키1B, 0.47 , 114 , 8 , 37 , 16.2 , 0.47 , 2 , 28.6 , 2 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 1 , 20.0 , 3 , 75.0 , 0 ,  , 0 , 8 , 44.4 , 1 , 0 , 0.00 
67,박정현,23한SS, 0.46 , 113 , 12 , 32 , 31.3 , 0.46 , 0 , 0.0 , 3 , 75.0 , 1 , 100.0 , 1 , 100.0 , 2 , 66.7 , 2 , 33.3 , 0 , 0.0 , 1 , 100.0 , 0 , 10 , 47.6 , 2 , 0 , 0.00 
68,김대한,23두RF, 0.45 , 89 , 10 , 29 , 31.0 , 0.45 , 0 , 0.0 , 1 , 100.0 , 1 , 100.0 , 1 , 100.0 , 0 ,  , 2 , 33.3 , 2 , 50.0 , 0 ,  , 0 , 7 , 46.7 , 0 , 0 , 0.00 
69,양찬열,23두RF, 0.45 , 99 , 15 , 41 , 36.6 , 0.45 , 1 , 33.3 , 2 , 100.0 , 3 , 100.0 , 0 , 0.0 , 1 , 50.0 , 1 , 33.3 , 2 , 66.7 , 2 , 40.0 , 0 , 12 , 54.5 , 3 , 0 , 0.00 
70,오그레디,23한LF, 0.42 , 86 , 3 , 17 , 17.7 , 0.42 , 1 , 33.3 , 3 , 100.0 , 0 , 0.0 , 0 ,  , 1 , 100.0 , 0 , 0.0 , 0 ,  , 0 ,  , 1 , 6 , 60.0 , 3 , 0 , 0.00 
71,박찬혁,23키LF, 0.41 , 167 , 13 , 55 , 21.8 , 0.41 , 0 , 0.0 , 2 , 33.3 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 , 0.0 , 3 , 50.0 , 1 , 33.3 , 0 , 7 , 20.6 , -8 , 0 , 0.00 
