순,이름,팀/포지션,정렬용,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살상황,병살%,희번,희번실패,희번%,<2&3B_N,<2&3B_%,0&2B_N,0&2_%,ADV_N,ADV_%
1,조영건,23키, 100.0 , 6 , 7.2 , 0.00 , 0.91 , 0.0 , 100.0 , 1 , 2 , 50.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 1 , 16.7 
,석상호,23롯, 100.0 , 5 , 5.1 , 0.00 , 1.13 , 0.0 , 100.0 , 1 , 5 , 20.0 , 1 , 0 , 100.0 , 1 , 100.0 , 0 ,  , 0 , 0.0 
,백승우,23두, 100.0 , 6 , 4.0 , 0.00 , 1.50 , 0.0 , 100.0 , 1 , 2 , 50.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 2 , 40.0 
,이민석,23롯, 100.0 , 1 , 1.1 , 0.00 , 0.75 , 0.0 , 100.0 , 0 , 0 ,  , 0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  
,서동민,23S, 100.0 , 2 , 1.0 , 0.00 , 3.00 , 0.0 , 100.0 , 0 , 1 , 0.0 , 0 , 1 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 
,박영완,23롯, 100.0 , 1 , 1.0 , 0.00 , 1.00 , 0.0 , 100.0 , 1 , 1 , 100.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
,하준수,23N, 100.0 , 1 , 1.0 , 0.00 , 2.00 , 0.0 , 100.0 , 0 , 2 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
,송승기,23L, 100.0 , 1 , 1.0 , 0.00 , 2.00 , 0.0 , 100.0 , 0 , 3 , 0.0 , 0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 
,유승철,23K, 100.0 , 1 , 1.0 , 0.00 , 1.00 , 0.0 , 100.0 , 0 , 1 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
,이우석,23N, 100.0 , 1 , 0.2 , 0.00 , 1.50 , 0.0 , 100.0 , 1 , 1 , 100.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
11,백승현,23L, 90.3 , 42 , 40.0 , 1.58 , 1.15 , 15.2 , 90.3 , 4 , 36 , 11.1 , 2 , 3 , 40.0 , 5 , 71.4 , 1 , 33.3 , 7 , 10.3 
12,김진성,23L, 89.6 , 80 , 70.1 , 2.18 , 0.95 , 25.4 , 89.6 , 6 , 64 , 9.4 , 6 , 1 , 85.7 , 13 , 56.5 , 1 , 16.7 , 16 , 14.7 
13,송은범,23L, 88.9 , 4 , 3.2 , 2.45 , 2.46 , 11.1 , 88.9 , 2 , 7 , 28.6 , 0 , 0 ,  , 0 ,  , 0 ,  , 1 , 7.1 
14,홍성민,23키, 87.0 , 2 , 2.0 , 9.00 , 3.00 , 33.3 , 87.0 , 0 , 0 ,  , 0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 
15,강건,23K, 85.7 , 4 , 6.2 , 1.35 , 1.05 , 14.3 , 85.7 , 0 , 3 , 0.0 , 1 , 0 , 100.0 , 1 , 50.0 , 0 ,  , 0 , 0.0 
16,서진용,23S, 83.8 , 69 , 72.2 , 2.48 , 1.51 , 17.5 , 83.8 , 11 , 91 , 12.1 , 4 , 3 , 57.1 , 12 , 57.1 , 3 , 27.3 , 27 , 16.7 
17,최지민,23K, 83.6 , 58 , 59.1 , 2.12 , 1.20 , 18.7 , 83.6 , 10 , 55 , 18.2 , 2 , 3 , 40.0 , 11 , 55.0 , 4 , 44.4 , 20 , 18.7 
18,이상규,23L, 83.3 , 8 , 7.2 , 2.35 , 1.57 , 16.7 , 83.3 , 2 , 12 , 16.7 , 0 , 1 , 0.0 , 0 ,  , 1 , 100.0 , 5 , 21.7 
,김창훈,23롯, 83.3 , 3 , 4.1 , 2.08 , 1.39 , 16.7 , 83.3 , 2 , 4 , 50.0 , 0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 1 , 12.5 
,윤호솔,23L, 83.3 , 4 , 3.2 , 2.45 , 1.64 , 16.7 , 83.3 , 0 , 4 , 0.0 , 0 , 0 ,  , 0 ,  , 0 , 0.0 , 3 , 37.5 
,박권후,23삼, 83.3 , 4 , 2.2 , 3.38 , 1.88 , 20.0 , 83.3 , 0 , 0 ,  , 0 , 0 ,  , 0 , 0.0 , 0 ,  , 1 , 50.0 
22,박민호,23S, 82.4 , 10 , 10.0 , 0.90 , 1.50 , 5.9 , 82.4 , 0 , 12 , 0.0 , 0 , 1 , 0.0 , 0 , 0.0 , 0 , 0.0 , 4 , 16.0 
23,임창민,23키, 82.1 , 51 , 46.2 , 2.51 , 1.46 , 18.6 , 82.1 , 2 , 53 , 3.8 , 2 , 3 , 40.0 , 8 , 88.9 , 1 , 25.0 , 21 , 21.4 
24,윤정현,23키, 81.8 , 5 , 6.0 , 1.50 , 1.83 , 9.1 , 81.8 , 4 , 7 , 57.1 , 0 , 0 ,  , 0 , 0.0 , 0 ,  , 2 , 13.3 
25,이호성,23삼, 81.6 , 5 , 17.0 , 2.65 , 1.24 , 23.8 , 81.6 , 0 , 9 , 0.0 , 2 , 0 , 100.0 , 4 , 80.0 , 1 , 100.0 , 7 , 46.7 
26,최준용,23롯, 81.6 , 47 , 47.2 , 2.45 , 1.43 , 18.8 , 81.6 , 1 , 48 , 2.1 , 2 , 1 , 66.7 , 4 , 57.1 , 2 , 50.0 , 17 , 18.7 
27,김성진,23키, 81.0 , 55 , 47.0 , 3.64 , 1.47 , 27.1 , 81.0 , 2 , 39 , 5.1 , 3 , 1 , 75.0 , 11 , 68.8 , 8 , 80.0 , 17 , 23.6 
28,김진호,23N, 80.8 , 19 , 16.1 , 2.76 , 1.53 , 19.2 , 80.8 , 2 , 15 , 13.3 , 0 , 1 , 0.0 , 2 , 66.7 , 0 ,  , 12 , 34.3 
29,함덕주,23L, 80.6 , 57 , 55.2 , 1.62 , 0.97 , 17.9 , 80.6 , 1 , 44 , 2.3 , 4 , 3 , 57.1 , 7 , 53.9 , 2 , 40.0 , 11 , 15.1 
30,한재승,23N, 80.4 , 11 , 9.2 , 3.72 , 1.45 , 28.6 , 80.4 , 1 , 7 , 14.3 , 0 , 0 ,  , 0 , 0.0 , 0 ,  , 4 , 25.0 
31,정해영,23K, 80.2 , 52 , 49.1 , 2.92 , 1.48 , 21.6 , 80.2 , 1 , 47 , 2.1 , 6 , 1 , 85.7 , 10 , 55.6 , 3 , 50.0 , 21 , 25.3 
32,주현상,23한, 79.7 , 55 , 59.2 , 1.96 , 0.84 , 24.5 , 79.7 , 2 , 51 , 3.9 , 5 , 2 , 71.4 , 10 , 76.9 , 1 , 33.3 , 15 , 17.9 
33,페디,23N, 79.6 , 30 , 180.1 , 2.00 , 0.95 , 22.7 , 79.6 , 11 , 112 , 9.8 , 5 , 6 , 45.5 , 15 , 55.6 , 3 , 30.0 , 45 , 21.2 
34,최지광,23삼, 79.4 , 22 , 17.1 , 5.19 , 1.50 , 37.0 , 79.4 , 0 , 16 , 0.0 , 0 , 0 ,  , 2 , 66.7 , 1 , 25.0 , 11 , 33.3 
35,진해수,23L, 79.4 , 19 , 14.2 , 3.07 , 1.91 , 17.9 , 79.4 , 1 , 23 , 4.4 , 0 , 1 , 0.0 , 4 , 66.7 , 0 , 0.0 , 9 , 23.1 
36,장시환,23한, 79.1 , 39 , 34.2 , 3.38 , 1.53 , 22.8 , 79.1 , 5 , 42 , 11.9 , 3 , 2 , 60.0 , 8 , 72.7 , 2 , 66.7 , 13 , 16.7 
37,이재희,23삼, 78.9 , 2 , 8.0 , 3.38 , 1.13 , 33.3 , 78.9 , 0 , 5 , 0.0 , 0 , 0 ,  , 0 , 0.0 , 0 ,  , 4 , 50.0 
,이승호,23키, 78.9 , 4 , 5.0 , 5.40 , 1.80 , 33.3 , 78.9 , 0 , 4 , 0.0 , 0 , 0 ,  , 1 , 100.0 , 0 ,  , 0 , 0.0 
39,플럿코,23L, 78.9 , 21 , 123.1 , 2.41 , 1.18 , 22.1 , 78.9 , 8 , 96 , 8.3 , 5 , 4 , 55.6 , 14 , 63.6 , 5 , 33.3 , 27 , 14.4 
40,윤명준,23롯, 78.7 , 21 , 19.1 , 6.52 , 2.12 , 31.1 , 78.7 , 2 , 27 , 7.4 , 2 , 1 , 66.7 , 6 , 42.9 , 1 , 33.3 , 12 , 19.7 
41,이상영,23L, 78.3 , 6 , 11.0 , 3.27 , 1.82 , 17.4 , 78.3 , 2 , 21 , 9.5 , 2 , 0 , 100.0 , 2 , 66.7 , 2 , 66.7 , 4 , 13.3 
42,오승환,23삼, 78.2 , 58 , 62.2 , 3.45 , 1.15 , 32.4 , 78.2 , 2 , 40 , 5.0 , 5 , 0 , 100.0 , 11 , 78.6 , 1 , 50.0 , 23 , 27.1 
43,유영찬,23L, 77.8 , 67 , 68.0 , 3.44 , 1.40 , 25.5 , 77.8 , 4 , 61 , 6.6 , 4 , 4 , 50.0 , 10 , 71.4 , 3 , 50.0 , 24 , 22.2 
44,윤산흠,23한, 77.8 , 5 , 3.0 , 6.00 , 3.00 , 22.2 , 77.8 , 0 , 7 , 0.0 , 1 , 0 , 100.0 , 1 , 50.0 , 0 , 0.0 , 1 , 10.0 
45,김승현,23K, 77.7 , 10 , 12.2 , 4.26 , 1.66 , 27.3 , 77.7 , 4 , 16 , 25.0 , 1 , 0 , 100.0 , 2 , 100.0 , 1 , 50.0 , 7 , 22.6 
46,윤대경,23한, 77.6 , 47 , 47.2 , 2.45 , 1.15 , 21.3 , 77.6 , 2 , 29 , 6.9 , 1 , 3 , 25.0 , 2 , 28.6 , 1 , 20.0 , 7 , 12.3 
47,이건욱,23S, 77.6 , 27 , 38.2 , 2.33 , 1.45 , 17.2 , 77.6 , 0 , 38 , 0.0 , 3 , 2 , 60.0 , 7 , 58.3 , 2 , 22.2 , 20 , 28.6 
