순,이름,팀/포지션,정렬용,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살상황,병살%,희번,희번실패,희번%,<2&3B_N,<2&3B_%,0&2B_N,0&2_%,ADV_N,ADV_%
111,김동주,23두, 71.4 , 18 , 78.1 , 4.14 , 1.38 , 32.1 , 71.4 , 5 , 66 , 7.6 , 5 , 2 , 71.4 , 14 , 70.0 , 4 , 50.0 , 25 , 24.0 
,이민우,23한, 71.4 , 17 , 13.2 , 2.63 , 1.02 , 28.6 , 71.4 , 0 , 10 , 0.0 , 1 , 0 , 100.0 , 3 , 100.0 , 0 ,  , 6 , 40.0 
,김정운,23K, 71.4 , 5 , 7.0 , 3.86 , 1.71 , 21.4 , 71.4 , 1 , 10 , 10.0 , 0 , 0 ,  , 1 , 50.0 , 4 , 80.0 , 4 , 22.2 
,이기순,23S, 71.4 , 2 , 3.0 , 9.00 , 2.33 , 42.9 , 71.4 , 0 , 5 , 0.0 , 0 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 33.3 
,박진,23롯, 71.4 , 4 , 5.0 , 9.00 , 2.80 , 35.7 , 71.4 , 0 , 5 , 0.0 , 1 , 0 , 100.0 , 2 , 100.0 , 0 ,  , 2 , 20.0 
,노건우,23삼, 71.4 , 16 , 12.1 , 7.30 , 2.19 , 35.7 , 71.4 , 1 , 14 , 7.1 , 0 , 0 ,  , 3 , 60.0 , 5 , 100.0 , 7 , 19.4 
,정구범,23N, 71.4 , 4 , 12.2 , 7.82 , 2.21 , 39.3 , 71.4 , 1 , 20 , 5.0 , 0 , 1 , 0.0 , 1 , 50.0 , 3 , 60.0 , 4 , 12.5 
118,스트레일리,23롯, 71.3 , 16 , 80.1 , 4.37 , 1.48 , 30.2 , 71.3 , 4 , 99 , 4.0 , 2 , 1 , 66.7 , 17 , 68.0 , 6 , 66.7 , 36 , 21.4 
119,하준영,23N, 71.2 , 57 , 49.0 , 4.59 , 1.45 , 34.2 , 71.2 , 2 , 43 , 4.7 , 2 , 0 , 100.0 , 5 , 71.4 , 2 , 40.0 , 18 , 22.8 
120,산체스,23한, 71.1 , 24 , 126.0 , 3.79 , 1.30 , 31.2 , 71.1 , 11 , 90 , 12.2 , 5 , 6 , 45.5 , 19 , 79.2 , 6 , 46.2 , 48 , 26.4 
121,손동현,23K, 71.1 , 64 , 73.2 , 3.42 , 1.20 , 31.1 , 71.1 , 7 , 65 , 10.8 , 9 , 2 , 81.8 , 18 , 81.8 , 4 , 80.0 , 22 , 18.8 
122,이승현,23삼, 71.1 , 60 , 60.0 , 3.60 , 1.38 , 28.9 , 71.1 , 2 , 50 , 4.0 , 3 , 5 , 37.5 , 7 , 87.5 , 1 , 50.0 , 26 , 23.9 
123,문동주,23한, 71.0 , 23 , 118.2 , 3.72 , 1.31 , 30.8 , 71.0 , 6 , 93 , 6.5 , 2 , 4 , 33.3 , 9 , 69.2 , 5 , 41.7 , 37 , 22.0 
