순,이름,팀/포지션,정렬용,출장,이닝,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPAPlus,WPAMinus,WPA,pLI,WPA/LI,Clutch
244,문경찬,23롯, -0.80 , 2 , 2.0 , -4.89 , 0.00 , -4.89 , -0.49 , -0.80 , 0.00 , 0.01 , -0.81 , -0.80 , 1.17 , -0.37 , -0.31 
245,장시환,23한, -0.81 , 39 , 34.2 , 2.50 , 0.79 , 3.30 , 0.33 , -0.89 , 0.08 , 2.70 , -3.51 , -0.81 , 1.26 , 0.21 , -0.86 
246,황동재,23삼, -0.83 , 7 , 31.2 , -8.83 , 0.32 , -8.51 , -0.86 , -0.85 , 0.02 , 2.35 , -3.18 , -0.83 , 0.94 , -1.48 , 0.60 
247,이병헌,23두, -0.86 , 36 , 27.0 , -4.38 , -0.82 , -5.20 , -0.52 , -0.79 , -0.07 , 1.07 , -1.92 , -0.86 , 0.67 , -0.42 , -0.86 
248,슐서,23K, -0.89 , 9 , 49.2 , -4.35 , 1.20 , -3.15 , -0.32 , -0.92 , 0.03 , 2.94 , -3.84 , -0.89 , 0.85 , -0.58 , -0.47 
249,양창섭,23삼, -0.92 , 15 , 28.2 , -10.77 , -0.33 , -11.10 , -1.12 , -0.81 , -0.10 , 1.54 , -2.46 , -0.92 , 0.73 , -1.45 , 0.20 
250,산체스,23K, -0.93 , 12 , 63.2 , -7.11 , -0.59 , -7.70 , -0.78 , -0.87 , -0.06 , 3.89 , -4.82 , -0.93 , 0.80 , -0.56 , -0.60 
251,하영민,23키, -0.94 , 57 , 52.1 , -3.69 , -0.72 , -4.41 , -0.45 , -0.92 , -0.02 , 4.81 , -5.75 , -0.94 , 1.20 , -0.97 , 0.19 
252,황동하,23K, -0.97 , 13 , 31.1 , -8.16 , 0.47 , -7.69 , -0.78 , -1.02 , 0.05 , 2.18 , -3.14 , -0.97 , 0.94 , -0.92 , -0.11 
253,배제성,23K, -0.97 , 26 , 130.1 , 5.33 , -2.29 , 3.04 , 0.31 , -0.79 , -0.18 , 9.54 , -10.51 , -0.97 , 1.00 , -0.92 , -0.05 
254,김선기,23키, -0.99 , 17 , 43.2 , -13.91 , 0.09 , -13.82 , -1.40 , -0.97 , -0.02 , 2.66 , -3.65 , -0.99 , 0.84 , -0.74 , -0.44 
255,이용준,23N, -0.99 , 24 , 67.0 , -3.74 , -1.68 , -5.42 , -0.55 , -0.86 , -0.14 , 4.23 , -5.22 , -0.99 , 0.89 , -0.25 , -0.87 
256,김기훈,23K, -0.99 , 29 , 31.1 , -6.73 , -1.62 , -8.35 , -0.84 , -0.67 , -0.33 , 1.29 , -2.28 , -0.99 , 0.59 , -0.30 , -1.39 
257,강재민,23한, -1.03 , 43 , 43.1 , -4.21 , 0.51 , -3.70 , -0.37 , -1.19 , 0.16 , 4.00 , -5.02 , -1.03 , 1.33 , -0.18 , -0.59 
258,송영진,23S, -1.06 , 17 , 47.1 , -6.80 , -3.63 , -10.43 , -1.05 , -0.77 , -0.28 , 3.19 , -4.24 , -1.06 , 0.97 , -0.47 , -0.62 
