순,이름,팀/포지션,정렬용,출장,이닝,타구방향%좌,타구방향%중,타구방향%우,타구방향%밀,타구방향%당,타구방향N좌,타구방향N중,타구방향N우,타구방향N밀,타구방향N당,안타방향N좌,안타방향N중,안타방향N우,안타방향밀,안타방향N당,방향별타율좌,방향별타율중,방향별타율우,방향별타율밀,방향별타율당,BABIP
135,장시환,23한, .310 , 39 , 34.2 , 37.4 , 17.2 , 45.5 , 46.5 , 36.4 , 37 , 17 , 45 , 46 , 36 , 8 , 7 , 17 , 14 , 11 , .216 , .412 , .378 , .304 , .306 , .310 
136,김서준,23삼, .310 , 8 , 7.2 , 44.8 , 24.1 , 31.0 , 24.1 , 51.7 , 13 , 7 , 9 , 7 , 15 , 2 , 4 , 3 , 1 , 4 , .154 , .571 , .333 , .143 , .267 , .310 
137,켈리,23L, .311 , 30 , 178.2 , 41.0 , 23.4 , 35.6 , 37.8 , 38.8 , 229 , 131 , 199 , 211 , 217 , 70 , 46 , 67 , 64 , 73 , .306 , .351 , .337 , .303 , .336 , .311 
138,메디나,23K, .312 , 12 , 58.0 , 37.4 , 26.3 , 36.3 , 36.8 , 36.8 , 71 , 50 , 69 , 70 , 70 , 26 , 21 , 17 , 25 , 18 , .366 , .420 , .246 , .357 , .257 , .312 
139,최승용,23두, .312 , 34 , 111.0 , 38.1 , 24.4 , 37.5 , 35.0 , 40.7 , 133 , 85 , 131 , 122 , 142 , 45 , 33 , 38 , 32 , 51 , .338 , .388 , .290 , .262 , .359 , .312 
140,최원태,23키L, .312 , 26 , 146.2 , 36.3 , 26.8 , 36.9 , 36.0 , 37.2 , 161 , 119 , 164 , 160 , 165 , 57 , 47 , 45 , 49 , 53 , .354 , .395 , .274 , .306 , .321 , .312 
141,고영표,23K, .314 , 28 , 174.2 , 35.8 , 22.7 , 41.5 , 40.1 , 37.2 , 200 , 127 , 232 , 224 , 208 , 64 , 60 , 57 , 64 , 57 , .320 , .472 , .246 , .286 , .274 , .314 
142,이명종,23키, .314 , 45 , 57.0 , 43.8 , 19.6 , 36.6 , 40.7 , 39.7 , 85 , 38 , 71 , 79 , 77 , 27 , 17 , 22 , 22 , 27 , .318 , .447 , .310 , .279 , .351 , .314 
143,오원석,23S, .316 , 28 , 144.2 , 41.1 , 22.6 , 36.4 , 41.3 , 36.2 , 193 , 106 , 171 , 194 , 170 , 58 , 40 , 60 , 61 , 57 , .301 , .377 , .351 , .314 , .335 , .316 
144,이정용,23L, .316 , 37 , 86.2 , 38.7 , 23.5 , 37.8 , 38.7 , 37.8 , 117 , 71 , 114 , 117 , 114 , 36 , 29 , 35 , 36 , 35 , .308 , .409 , .307 , .308 , .307 , .316 
145,산체스,23한, .316 , 24 , 126.0 , 42.9 , 21.1 , 36.1 , 43.4 , 35.6 , 171 , 84 , 144 , 173 , 142 , 55 , 33 , 48 , 56 , 47 , .322 , .393 , .333 , .324 , .331 , .316 
146,정해영,23K, .317 , 52 , 49.1 , 46.6 , 22.4 , 31.1 , 40.4 , 37.3 , 75 , 36 , 50 , 65 , 60 , 22 , 16 , 15 , 19 , 18 , .293 , .444 , .300 , .292 , .300 , .317 
147,이승현,23삼, .317 , 60 , 60.0 , 31.0 , 27.1 , 41.9 , 37.0 , 36.0 , 63 , 55 , 85 , 75 , 73 , 16 , 20 , 32 , 24 , 24 , .254 , .364 , .377 , .320 , .329 , .317 
148,고효준,23S, .317 , 73 , 58.0 , 40.0 , 18.6 , 40.7 , 38.6 , 42.1 , 58 , 27 , 59 , 56 , 61 , 18 , 12 , 18 , 15 , 21 , .310 , .444 , .305 , .268 , .344 , .317 
149,김진욱,23롯, .317 , 50 , 36.1 , 32.1 , 24.5 , 43.4 , 40.6 , 34.9 , 34 , 26 , 46 , 43 , 37 , 13 , 9 , 15 , 13 , 15 , .382 , .346 , .326 , .302 , .405 , .317 
150,스트레일리,23롯, .318 , 16 , 80.1 , 41.9 , 22.0 , 36.1 , 32.0 , 46.1 , 101 , 53 , 87 , 77 , 111 , 41 , 22 , 19 , 25 , 35 , .406 , .415 , .218 , .325 , .315 , .318 
151,김도규,23롯, .318 , 36 , 29.2 , 49.4 , 14.9 , 35.6 , 40.2 , 44.8 , 43 , 13 , 31 , 35 , 39 , 12 , 6 , 11 , 10 , 13 , .279 , .462 , .355 , .286 , .333 , .318 
152,엘리아스,23S, .318 , 22 , 131.1 , 45.0 , 22.6 , 32.4 , 41.6 , 35.8 , 185 , 93 , 133 , 171 , 147 , 60 , 39 , 41 , 59 , 42 , .324 , .419 , .308 , .345 , .286 , .318 
153,이병헌,23두, .319 , 36 , 27.0 , 35.6 , 21.9 , 42.5 , 38.4 , 39.7 , 26 , 16 , 31 , 28 , 29 , 9 , 7 , 9 , 10 , 8 , .346 , .438 , .290 , .357 , .276 , .319 
154,양현종,23K, .320 , 29 , 171.0 , 40.2 , 28.2 , 31.6 , 35.9 , 35.9 , 214 , 150 , 168 , 191 , 191 , 64 , 70 , 46 , 51 , 59 , .299 , .467 , .274 , .267 , .309 , .320 
155,파노니,23K, .320 , 16 , 82.1 , 48.4 , 24.6 , 27.0 , 46.5 , 28.9 , 124 , 63 , 69 , 119 , 74 , 34 , 32 , 20 , 39 , 15 , .274 , .508 , .290 , .328 , .203 , .320 
156,정우람,23한, .321 , 52 , 40.1 , 41.7 , 21.2 , 37.1 , 34.1 , 44.7 , 55 , 28 , 49 , 45 , 59 , 21 , 14 , 10 , 15 , 16 , .382 , .500 , .204 , .333 , .271 , .321 
157,김범수,23한, .321 , 76 , 62.1 , 40.3 , 24.6 , 35.1 , 36.7 , 38.7 , 77 , 47 , 67 , 70 , 74 , 22 , 21 , 21 , 21 , 22 , .286 , .447 , .313 , .300 , .297 , .321 
158,최원준,23두, .322 , 26 , 107.2 , 34.9 , 24.1 , 41.0 , 39.8 , 36.1 , 120 , 83 , 141 , 137 , 124 , 37 , 31 , 51 , 41 , 47 , .308 , .374 , .362 , .299 , .379 , .322 
159,박치국,23두, .323 , 62 , 52.2 , 37.3 , 24.2 , 38.5 , 37.9 , 37.9 , 60 , 39 , 62 , 61 , 61 , 18 , 15 , 21 , 20 , 19 , .300 , .385 , .339 , .328 , .312 , .323 
160,김태훈,23키삼, .324 , 71 , 63.1 , 36.2 , 26.2 , 37.6 , 39.5 , 34.3 , 76 , 55 , 79 , 83 , 72 , 24 , 22 , 28 , 31 , 21 , .316 , .400 , .354 , .374 , .292 , .324 
161,이우찬,23L, .324 , 38 , 38.1 , 32.7 , 28.9 , 38.5 , 31.7 , 39.4 , 34 , 30 , 40 , 33 , 41 , 9 , 11 , 15 , 10 , 14 , .265 , .367 , .375 , .303 , .342 , .324 
162,이상영,23L, .324 , 6 , 11.0 , 21.6 , 32.4 , 46.0 , 29.7 , 37.8 , 8 , 12 , 17 , 11 , 14 , 3 , 8 , 1 , 2 , 2 , .375 , .667 , .059 , .182 , .143 , .324 
,고봉재,23두, .324 , 10 , 11.1 , 28.6 , 22.9 , 48.6 , 40.0 , 37.1 , 10 , 8 , 17 , 14 , 13 , 2 , 4 , 6 , 2 , 6 , .200 , .500 , .353 , .143 , .462 , .324 
164,이재익,23삼, .326 , 51 , 41.0 , 42.5 , 21.6 , 35.8 , 40.3 , 38.1 , 57 , 29 , 48 , 54 , 51 , 22 , 12 , 12 , 18 , 16 , .386 , .414 , .250 , .333 , .314 , .326 
165,배제성,23K, .326 , 26 , 130.1 , 39.5 , 20.7 , 39.8 , 43.6 , 35.7 , 166 , 87 , 167 , 183 , 150 , 55 , 41 , 48 , 53 , 50 , .331 , .471 , .287 , .290 , .333 , .326 
166,최준용,23롯, .327 , 47 , 47.2 , 35.8 , 27.0 , 37.2 , 42.6 , 30.4 , 53 , 40 , 55 , 63 , 45 , 20 , 15 , 15 , 21 , 14 , .377 , .375 , .273 , .333 , .311 , .327 
