순,이름,팀/포지션,정렬용,출장,이닝,평균구속_직구,평균구속_슬라,평균구속_커브,평균구속_첸졉,평균구속_스플,평균구속_싱커,평균구속_너클,평균구속_기타,직구구사율,슬라구사율,커브구사율,첸졉구사율,스플구사율,싱커구사율,너클구사율,기타구사율,Swing%IZ,Swing%OZ,Swing%All,Contact%IZ,Contact%OZ,Contact%All,Zone%
,송승기,23L, 144.6 , 1 , 1.0 , 144.6 , 132.0 ,  , 131.3 ,  ,  ,  ,  , 72.2 , 11.1 , 0.0 , 16.7 , 0.0 , 0.0 , 0.0 , 0.0 , 75.0 , 30.0 , 50.0 , 100.0 , 100.0 , 100.0 , 44.4 
89,원태인,23삼, 144.5 , 26 , 150.0 , 144.5 , 134.1 , 113.2 , 124.6 ,  , 135.5 ,  ,  , 41.3 , 28.2 , 4.4 , 26.1 , 0.0 , 0.1 , 0.0 , 0.0 , 69.8 , 31.3 , 48.1 , 88.1 , 68.6 , 80.9 , 43.5 
,김영현,23K, 144.5 , 31 , 33.0 , 144.5 , 131.3 ,  , 133.1 ,  ,  ,  ,  , 49.6 , 49.2 , 0.0 , 1.2 , 0.0 , 0.0 , 0.0 , 0.0 , 68.6 , 31.8 , 47.6 , 81.3 , 53.9 , 70.9 , 43.0 
,산체스,23K, 144.5 , 12 , 63.2 , 144.5 , 130.8 , 123.3 , 131.2 , 136.0 , 144.4 ,  ,  , 46.3 , 17.3 , 24.7 , 8.0 , 0.1 , 3.5 , 0.0 , 0.0 , 65.4 , 34.7 , 49.2 , 84.3 , 62.8 , 76.3 , 47.2 
92,벤자민,23K, 144.4 , 29 , 160.0 , 144.4 , 133.0 , 123.5 , 133.0 ,  , 137.8 ,  ,  , 39.6 , 47.3 , 7.7 , 4.0 , 0.0 , 1.4 , 0.0 , 0.0 , 62.9 , 30.6 , 46.5 , 87.5 , 63.3 , 79.5 , 49.3 
93,김정우,23두, 144.3 , 7 , 6.2 , 144.3 , 127.0 ,  , 125.8 ,  , 143.8 ,  ,  , 17.9 , 15.2 , 0.0 , 27.6 , 0.0 , 39.3 , 0.0 , 0.0 , 67.1 , 28.2 , 46.6 , 85.1 , 72.7 , 81.2 , 47.3 
94,김광현,23S, 144.2 , 30 , 168.1 , 144.2 , 132.2 , 112.4 , 128.8 , 128.3 ,  , 131.0 ,  , 29.7 , 34.9 , 12.0 , 1.0 , 22.3 , 0.0 , 0.0 , 0.0 , 62.2 , 26.9 , 42.9 , 85.8 , 66.0 , 79.0 , 45.3 
,이상동,23K, 144.2 , 36 , 40.2 , 144.2 , 132.2 , 126.5 ,  , 129.7 ,  ,  ,  , 54.6 , 2.1 , 0.3 , 0.0 , 43.0 , 0.0 , 0.0 , 0.0 , 72.8 , 38.0 , 53.4 , 83.4 , 60.6 , 74.4 , 44.3 
,최충연,23삼, 144.2 , 7 , 9.1 , 144.2 , 132.1 , 118.6 ,  , 134.2 , 139.0 ,  ,  , 52.0 , 29.5 , 2.9 , 0.0 , 15.0 , 0.6 , 0.0 , 0.0 , 74.6 , 26.2 , 46.0 , 83.0 , 51.9 , 72.5 , 40.8 
,박진,23롯, 144.2 , 4 , 5.0 , 144.2 , 128.8 , 115.5 ,  , 130.2 ,  ,  ,  , 46.0 , 39.8 , 9.7 , 0.0 , 4.4 , 0.0 , 0.0 , 0.0 , 58.1 , 20.0 , 34.5 , 92.0 , 71.4 , 84.6 , 38.1 
98,오승환,23삼, 144.1 , 58 , 62.2 , 144.1 , 133.9 , 118.2 , 134.8 , 136.3 , 140.3 ,  ,  , 46.3 , 27.3 , 10.1 , 6.8 , 8.8 , 0.7 , 0.0 , 0.0 , 71.4 , 34.9 , 51.0 , 86.1 , 63.5 , 77.5 , 44.2 
,강건,23K, 144.1 , 4 , 6.2 , 144.1 , 137.4 , 125.2 ,  , 133.7 ,  ,  ,  , 45.4 , 15.7 , 33.3 , 0.0 , 5.6 , 0.0 , 0.0 , 0.0 , 55.8 , 25.0 , 39.8 , 89.7 , 50.0 , 76.7 , 48.1 
,류원석,23한, 144.1 , 1 , 2.0 , 144.1 , 123.8 ,  ,  ,  ,  ,  ,  , 73.5 , 26.5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 47.1 , 29.4 , 38.2 , 87.5 , 80.0 , 84.6 , 50.0 
,조성훈,23S, 144.1 , 2 , 7.0 , 144.1 , 130.8 , 115.6 ,  , 133.0 ,  ,  ,  , 58.4 , 23.4 , 13.1 , 0.0 , 5.1 , 0.0 , 0.0 , 0.0 , 62.1 , 21.5 , 38.7 , 86.1 , 88.2 , 86.8 , 42.3 
102,플럿코,23L, 144.0 , 21 , 123.1 , 144.0 , 132.0 , 119.9 , 133.1 ,  ,  ,  ,  , 38.6 , 42.0 , 10.9 , 8.5 , 0.0 , 0.0 , 0.0 , 0.0 , 65.5 , 34.8 , 48.1 , 88.5 , 68.2 , 80.2 , 43.2 
,슐서,23K, 144.0 , 9 , 49.2 , 144.0 , 137.2 , 124.2 , 129.7 , 129.4 ,  ,  ,  , 52.0 , 10.2 , 5.5 , 14.3 , 18.0 , 0.0 , 0.0 , 0.0 , 73.1 , 30.7 , 50.4 , 86.6 , 68.7 , 80.8 , 46.5 
,곽도규,23K, 144.0 , 14 , 11.2 , 144.0 , 127.7 , 126.7 ,  ,  , 144.7 ,  ,  , 12.7 , 9.6 , 13.1 , 0.0 , 0.0 , 64.6 , 0.0 , 0.0 , 51.6 , 19.0 , 32.2 , 87.5 , 50.0 , 74.3 , 40.4 
,김태훈,23키삼, 144.0 , 71 , 63.1 , 144.0 , 132.9 , 117.2 ,  , 133.4 , 143.8 ,  ,  , 13.3 , 8.3 , 1.6 , 0.0 , 28.9 , 48.0 , 0.0 , 0.0 , 67.6 , 25.0 , 44.6 , 88.6 , 67.5 , 82.2 , 46.0 
106,반즈,23롯, 143.9 , 30 , 170.1 , 143.9 , 128.9 , 116.9 , 127.4 ,  , 142.7 ,  ,  , 35.1 , 33.3 , 0.3 , 22.3 , 0.0 , 9.0 , 0.0 , 0.0 , 62.4 , 32.3 , 44.9 , 86.1 , 59.7 , 75.0 , 41.8 
,엄상백,23K, 143.9 , 20 , 111.2 , 143.9 , 135.5 , 126.5 , 129.2 ,  ,  ,  ,  , 34.0 , 12.7 , 0.1 , 53.2 , 0.0 , 0.0 , 0.0 , 0.0 , 67.5 , 30.8 , 47.8 , 84.3 , 73.3 , 80.5 , 46.4 
,조민석,23N, 143.9 , 35 , 31.0 , 143.9 , 132.3 ,  , 128.3 , 134.3 , 143.2 ,  ,  , 44.9 , 0.7 , 0.0 , 5.7 , 47.5 , 1.1 , 0.0 , 0.0 , 70.7 , 24.8 , 43.6 , 86.6 , 62.5 , 78.5 , 40.8 
,이용준,23N, 143.9 , 24 , 67.0 , 143.9 , 125.6 , 117.6 , 123.2 ,  ,  ,  ,  , 51.1 , 31.8 , 5.8 , 11.4 , 0.0 , 0.0 , 0.0 , 0.0 , 61.9 , 28.0 , 41.9 , 87.9 , 72.2 , 81.7 , 40.8 
,전사민,23N, 143.9 , 9 , 17.0 , 143.9 , 131.5 ,  , 129.0 ,  , 143.0 ,  ,  , 9.5 , 35.3 , 0.0 , 0.4 , 0.0 , 54.8 , 0.0 , 0.0 , 60.5 , 17.6 , 36.4 , 94.7 , 78.6 , 90.3 , 43.8 
,김기훈,23K, 143.9 , 29 , 31.1 , 143.9 , 129.1 , 113.0 , 125.3 ,  ,  ,  ,  , 74.3 , 19.0 , 0.4 , 6.3 , 0.0 , 0.0 , 0.0 , 0.0 , 69.4 , 19.4 , 38.6 , 76.5 , 71.3 , 74.9 , 38.5 
112,조영건,23키, 143.8 , 6 , 7.2 , 143.8 , 132.2 , 117.8 ,  , 131.0 ,  ,  ,  , 48.5 , 33.7 , 4.0 , 0.0 , 13.9 , 0.0 , 0.0 , 0.0 , 73.1 , 32.7 , 53.5 , 86.8 , 56.3 , 77.8 , 51.5 
,이충호,23한, 143.8 , 11 , 8.2 , 143.8 , 126.0 ,  ,  ,  , 142.6 ,  ,  , 28.8 , 44.6 , 0.0 , 0.0 , 0.0 , 26.6 , 0.0 , 0.0 , 62.3 , 31.5 , 42.8 , 93.9 , 58.6 , 77.4 , 36.6 
,노건우,23삼, 143.8 , 16 , 12.1 , 143.8 , 130.3 ,  , 131.2 ,  ,  ,  ,  , 63.7 , 34.4 , 0.0 , 1.9 , 0.0 , 0.0 , 0.0 , 0.0 , 60.5 , 30.9 , 44.9 , 84.0 , 76.7 , 81.4 , 47.1 
115,서진용,23S, 143.7 , 69 , 72.2 , 143.7 , 130.0 , 135.0 ,  , 129.9 ,  , 126.0 ,  , 50.1 , 0.2 , 0.2 , 0.0 , 49.4 , 0.0 , 0.1 , 0.0 , 65.9 , 26.8 , 42.7 , 84.5 , 60.5 , 75.5 , 40.5 
,박치국,23두, 143.7 , 62 , 52.2 , 143.7 , 129.6 , 122.2 , 131.7 ,  ,  ,  ,  , 49.1 , 17.4 , 6.2 , 27.3 , 0.0 , 0.0 , 0.0 , 0.0 , 68.6 , 30.8 , 47.3 , 87.0 , 65.0 , 78.9 , 43.8 
,한승주,23한, 143.7 , 47 , 70.2 , 143.7 , 127.2 , 119.8 , 128.3 , 131.2 , 141.9 ,  ,  , 43.7 , 34.9 , 13.8 , 4.1 , 1.8 , 1.8 , 0.0 , 0.0 , 63.8 , 27.3 , 42.9 , 89.3 , 65.2 , 80.5 , 42.7 
,이정용,23L, 143.7 , 37 , 86.2 , 143.7 , 132.7 , 117.0 ,  , 130.4 ,  ,  ,  , 50.9 , 17.0 , 10.1 , 0.0 , 22.0 , 0.0 , 0.0 , 0.0 , 67.2 , 29.9 , 48.5 , 93.0 , 72.0 , 86.5 , 49.6 
,김시훈,23N, 143.7 , 61 , 52.2 , 143.7 , 134.7 , 118.7 ,  , 134.3 ,  ,  ,  , 41.6 , 14.0 , 20.1 , 0.0 , 24.3 , 0.0 , 0.0 , 0.0 , 62.4 , 25.1 , 40.9 , 84.6 , 62.0 , 76.6 , 42.3 
,김준형,23키, 143.7 , 8 , 7.2 , 143.7 , 124.4 , 120.0 ,  , 130.0 ,  ,  ,  , 61.6 , 13.0 , 14.4 , 0.0 , 11.0 , 0.0 , 0.0 , 0.0 , 65.5 , 19.3 , 37.7 , 94.7 , 47.1 , 80.0 , 39.7 
121,김재윤,23K, 143.6 , 59 , 65.2 , 143.6 , 125.2 , 119.0 ,  , 130.2 ,  ,  ,  , 71.4 , 18.8 , 0.3 , 0.0 , 9.5 , 0.0 , 0.0 , 0.0 , 74.9 , 34.3 , 54.3 , 87.1 , 73.1 , 82.6 , 49.3 
,고효준,23S, 143.6 , 73 , 58.0 , 143.6 , 130.6 , 122.7 , 127.0 , 128.9 ,  ,  ,  , 45.5 , 52.9 , 0.7 , 0.1 , 0.8 , 0.0 , 0.0 , 0.0 , 56.4 , 25.9 , 37.8 , 88.4 , 57.8 , 75.6 , 39.0 
,배민서,23N, 143.6 , 6 , 6.2 , 143.6 , 132.9 ,  , 134.0 , 134.4 , 142.1 ,  ,  , 24.6 , 20.6 , 0.0 , 32.5 , 7.9 , 14.3 , 0.0 , 0.0 , 85.7 , 21.1 , 49.6 , 93.8 , 33.3 , 79.4 , 44.1 
124,김동주,23두, 143.5 , 18 , 78.1 , 143.5 , 133.2 , 116.2 ,  , 133.9 ,  ,  ,  , 43.1 , 38.3 , 1.7 , 0.0 , 16.8 , 0.0 , 0.0 , 0.0 , 64.5 , 29.2 , 44.5 , 86.6 , 65.4 , 78.6 , 43.2 
,김정운,23K, 143.5 , 5 , 7.0 , 143.5 , 124.9 ,  , 126.7 ,  ,  ,  ,  , 70.1 , 19.0 , 0.0 , 10.9 , 0.0 , 0.0 , 0.0 , 0.0 , 68.9 , 18.2 , 40.6 , 90.5 , 71.4 , 85.7 , 44.2 
,김건국,23K, 143.5 , 6 , 16.0 , 143.5 , 136.6 , 115.4 ,  , 133.0 ,  ,  ,  , 40.1 , 38.9 , 8.9 , 0.0 , 12.1 , 0.0 , 0.0 , 0.0 , 65.0 , 27.6 , 45.5 , 88.8 , 73.0 , 83.8 , 47.9 
127,손동현,23K, 143.4 , 64 , 73.2 , 143.4 , 126.9 , 118.3 ,  , 128.2 ,  ,  ,  , 59.9 , 19.7 , 11.2 , 0.0 , 9.2 , 0.0 , 0.0 , 0.0 , 69.0 , 29.0 , 47.5 , 87.1 , 75.6 , 83.3 , 46.1 
,스트레일리,23롯, 143.4 , 16 , 80.1 , 143.4 , 132.1 , 120.1 , 132.5 ,  , 141.1 ,  ,  , 41.8 , 31.7 , 9.0 , 16.8 , 0.0 , 0.6 , 0.0 , 0.0 , 62.6 , 29.4 , 43.3 , 85.8 , 66.3 , 78.1 , 42.1 
,이우찬,23L, 143.4 , 38 , 38.1 , 143.4 , 132.3 , 121.1 ,  , 133.8 ,  ,  ,  , 60.1 , 18.8 , 11.2 , 0.0 , 9.9 , 0.0 , 0.0 , 0.0 , 64.0 , 26.8 , 40.8 , 88.4 , 67.6 , 79.8 , 37.5 
,이민우,23한, 143.4 , 17 , 13.2 , 143.4 , 137.6 , 122.5 ,  , 134.0 ,  ,  ,  , 43.6 , 36.0 , 18.2 , 0.0 , 2.1 , 0.0 , 0.0 , 0.0 , 64.8 , 29.1 , 42.7 , 86.4 , 72.1 , 80.4 , 38.1 
,최지광,23삼, 143.4 , 22 , 17.1 , 143.4 , 135.0 , 119.4 , 135.0 , 139.4 ,  ,  ,  , 41.3 , 44.0 , 13.0 , 0.3 , 1.5 , 0.0 , 0.0 , 0.0 , 64.6 , 25.9 , 43.1 , 85.3 , 70.8 , 80.4 , 44.3 
,김진욱,23롯, 143.4 , 50 , 36.1 , 143.4 , 127.2 , 122.3 , 141.5 , 134.0 ,  ,  ,  , 60.4 , 19.2 , 18.8 , 0.3 , 1.3 , 0.0 , 0.0 , 0.0 , 60.3 , 25.8 , 39.3 , 90.3 , 62.4 , 79.2 , 39.1 
,주승우,23키, 143.4 , 11 , 16.0 , 143.4 , 130.2 , 122.7 ,  , 130.0 ,  ,  ,  , 57.3 , 10.5 , 9.7 , 0.0 , 22.5 , 0.0 , 0.0 , 0.0 , 58.7 , 20.5 , 37.7 , 94.1 , 65.1 , 85.4 , 45.0 
,김재열,23K, 143.4 , 9 , 11.2 , 143.4 , 126.6 , 120.6 ,  , 133.7 ,  ,  ,  , 56.8 , 5.9 , 20.5 , 0.0 , 16.8 , 0.0 , 0.0 , 0.0 , 63.9 , 24.8 , 43.8 , 83.0 , 76.9 , 81.2 , 48.4 
135,최동환,23L, 143.3 , 45 , 42.1 , 143.3 , 131.0 , 117.8 ,  , 129.3 ,  ,  ,  , 59.2 , 4.6 , 1.8 , 0.0 , 34.4 , 0.0 , 0.0 , 0.0 , 75.0 , 35.0 , 52.4 , 88.5 , 72.3 , 82.4 , 43.6 
,백승우,23두, 143.3 , 6 , 4.0 , 143.3 , 131.5 , 118.5 , 129.9 ,  ,  ,  ,  , 61.5 , 2.6 , 20.5 , 15.4 , 0.0 , 0.0 , 0.0 , 0.0 , 58.3 , 22.2 , 33.3 , 92.9 , 75.0 , 84.6 , 30.8 
,박신지,23두, 143.3 , 15 , 26.0 , 143.3 , 129.8 , 115.4 , 125.3 ,  ,  ,  ,  , 44.8 , 28.2 , 4.6 , 22.5 , 0.0 , 0.0 , 0.0 , 0.0 , 66.0 , 26.2 , 42.5 , 90.3 , 63.4 , 80.5 , 41.0 
,손주영,23L, 143.3 , 3 , 8.2 , 143.3 , 130.4 , 116.4 , 130.5 ,  ,  ,  ,  , 69.1 , 20.2 , 8.5 , 2.1 , 0.0 , 0.0 , 0.0 , 0.0 , 66.3 , 27.2 , 45.0 , 87.7 , 64.3 , 80.0 , 45.5 
,김영준,23L, 143.3 , 1 , 0.1 , 143.3 , 129.0 ,  ,  ,  ,  ,  ,  , 75.0 , 25.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 42.9 , 0.0 , 18.8 , 100.0 ,  , 100.0 , 43.8 
,이지강,23L, 143.3 , 22 , 68.0 , 143.3 , 132.7 , 118.5 , 129.4 ,  , 132.0 ,  ,  , 49.0 , 15.0 , 12.5 , 23.4 , 0.0 , 0.1 , 0.0 , 0.0 , 65.0 , 28.4 , 43.8 , 87.8 , 69.5 , 80.9 , 42.1 
141,정해영,23K, 143.2 , 52 , 49.1 , 143.2 , 131.4 , 136.3 ,  , 134.2 ,  ,  ,  , 63.8 , 17.7 , 0.4 , 0.0 , 18.1 , 0.0 , 0.0 , 0.0 , 71.7 , 29.7 , 47.6 , 89.1 , 71.4 , 82.7 , 42.6 
,최민준,23S, 143.2 , 53 , 60.0 , 143.2 , 138.9 , 123.0 , 133.0 , 133.4 , 140.0 ,  ,  , 36.9 , 33.7 , 27.0 , 0.9 , 1.5 , 0.1 , 0.0 , 0.0 , 66.2 , 27.9 , 44.3 , 92.1 , 70.7 , 84.4 , 42.7 
,이기순,23S, 143.2 , 2 , 3.0 , 143.2 , 126.5 , 110.8 , 131.3 ,  ,  ,  ,  , 54.0 , 12.7 , 20.6 , 12.7 , 0.0 , 0.0 , 0.0 , 0.0 , 65.0 , 25.6 , 38.1 , 76.9 , 63.6 , 70.8 , 31.7 
,김건희,23키, 143.2 , 3 , 2.0 , 143.2 , 135.9 ,  ,  ,  ,  ,  ,  , 80.7 , 19.3 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 88.0 , 15.6 , 47.4 , 77.3 , 100.0 , 81.5 , 43.9 
,한현희,23롯, 143.2 , 38 , 104.0 , 143.2 , 126.8 , 128.2 , 130.3 , 130.6 ,  ,  ,  , 52.5 , 38.8 , 0.3 , 5.5 , 2.8 , 0.0 , 0.0 , 0.0 , 66.2 , 29.3 , 45.4 , 88.3 , 73.9 , 83.1 , 43.6 
146,하준영,23N, 143.1 , 57 , 49.0 , 143.1 , 133.4 ,  , 130.1 ,  , 143.0 ,  ,  , 43.1 , 45.3 , 0.0 , 11.5 , 0.0 , 0.1 , 0.0 , 0.0 , 59.5 , 30.5 , 42.8 , 85.7 , 57.8 , 74.3 , 42.6 
147,이형범,23두, 143.0 , 23 , 27.2 , 143.0 , 137.9 , 121.7 , 129.8 , 138.5 , 141.9 ,  ,  , 9.7 , 30.5 , 2.1 , 7.8 , 0.4 , 49.6 , 0.0 , 0.0 , 74.1 , 26.2 , 49.2 , 90.5 , 75.4 , 86.3 , 47.9 
,양창섭,23삼, 143.0 , 15 , 28.2 , 143.0 , 130.8 , 119.3 , 128.7 , 133.0 ,  ,  ,  , 58.8 , 24.0 , 2.7 , 14.2 , 0.2 , 0.0 , 0.0 , 0.0 , 70.9 , 26.9 , 46.4 , 90.2 , 72.0 , 84.3 , 44.4 
149,하준호,23K, 142.9 , 12 , 13.0 , 142.9 , 132.3 , 116.3 , 132.9 ,  ,  ,  ,  , 59.8 , 33.6 , 3.5 , 3.1 , 0.0 , 0.0 , 0.0 , 0.0 , 65.9 , 22.3 , 37.8 , 92.6 , 69.7 , 83.9 , 35.7 
,배재준,23L, 142.9 , 1 , 1.0 , 142.9 , 131.5 , 117.0 , 131.0 ,  ,  ,  ,  , 43.5 , 43.5 , 8.7 , 4.3 , 0.0 , 0.0 , 0.0 , 0.0 , 63.6 , 16.7 , 39.1 , 85.7 , 50.0 , 77.8 , 47.8 
,김선기,23키, 142.9 , 17 , 43.2 , 142.9 , 131.5 , 120.3 , 131.0 , 126.7 , 145.0 ,  ,  , 40.1 , 44.0 , 12.6 , 1.6 , 1.3 , 0.4 , 0.0 , 0.0 , 62.0 , 28.5 , 44.1 , 94.5 , 68.7 , 85.5 , 46.5 
152,김진성,23L, 142.8 , 80 , 70.1 , 142.8 , 135.7 , 141.0 ,  , 126.5 ,  ,  ,  , 52.4 , 1.3 , 0.1 , 0.0 , 46.3 , 0.0 , 0.0 , 0.0 , 72.2 , 36.3 , 51.9 , 81.2 , 63.0 , 74.0 , 43.3 
153,구창모,23N, 142.7 , 11 , 51.2 , 142.7 , 132.2 , 118.7 ,  , 132.0 ,  ,  ,  , 50.7 , 23.5 , 1.8 , 0.0 , 24.1 , 0.0 , 0.0 , 0.0 , 58.5 , 36.2 , 46.3 , 86.1 , 54.2 , 72.4 , 45.1 
,김상수,23롯, 142.7 , 66 , 52.0 , 142.7 , 130.3 , 122.5 , 126.7 , 127.2 , 138.0 ,  ,  , 43.9 , 6.3 , 12.1 , 13.5 , 24.1 , 0.1 , 0.0 , 0.0 , 66.6 , 31.8 , 44.2 , 88.4 , 71.4 , 80.5 , 35.7 
,송명기,23N, 142.7 , 35 , 104.1 , 142.7 , 132.5 , 115.4 ,  , 132.1 , 141.6 ,  ,  , 49.4 , 26.7 , 4.3 , 0.0 , 19.1 , 0.5 , 0.0 , 0.0 , 65.6 , 27.8 , 44.5 , 88.2 , 69.8 , 81.8 , 44.1 
,이승현,23삼, 142.7 , 48 , 43.1 , 142.7 , 128.2 , 117.2 , 125.0 , 128.0 ,  ,  ,  , 59.9 , 27.1 , 12.6 , 0.1 , 0.1 , 0.0 , 0.0 , 0.0 , 64.6 , 29.4 , 44.2 , 86.5 , 59.7 , 76.2 , 42.2 
,임준섭,23S, 142.7 , 41 , 32.2 , 142.7 , 128.1 , 117.4 , 125.6 ,  ,  ,  ,  , 42.7 , 53.7 , 1.8 , 1.8 , 0.0 , 0.0 , 0.0 , 0.0 , 67.5 , 25.9 , 41.4 , 88.1 , 71.3 , 81.5 , 37.4 
158,전상현,23K, 142.6 , 64 , 58.2 , 142.6 , 134.6 , 122.6 , 134.7 , 134.3 , 131.7 ,  ,  , 47.2 , 42.0 , 4.7 , 0.3 , 5.5 , 0.3 , 0.0 , 0.0 , 66.9 , 31.3 , 45.0 , 89.7 , 61.5 , 77.6 , 38.4 
,나균안,23롯, 142.6 , 23 , 130.1 , 142.6 , 135.7 , 116.4 ,  , 129.4 , 138.5 ,  ,  , 41.2 , 12.8 , 10.3 , 0.0 , 35.5 , 0.1 , 0.0 , 0.0 , 66.7 , 31.7 , 47.1 , 87.2 , 62.6 , 77.9 , 43.9 
,백승건,23S, 142.6 , 25 , 38.0 , 142.6 , 131.4 , 116.7 , 129.9 ,  ,  ,  ,  , 41.6 , 34.0 , 4.0 , 20.4 , 0.0 , 0.0 , 0.0 , 0.0 , 63.1 , 24.1 , 40.9 , 84.3 , 64.4 , 77.6 , 43.0 
161,전용주,23K, 142.5 , 15 , 10.1 , 142.5 , 130.2 ,  , 126.8 ,  ,  ,  ,  , 64.3 , 29.8 , 0.0 , 5.8 , 0.0 , 0.0 , 0.0 , 0.0 , 67.6 , 21.6 , 40.5 , 91.7 , 63.6 , 82.9 , 41.0 
162,최승용,23두, 142.4 , 34 , 111.0 , 142.4 , 131.0 , 116.6 ,  , 129.9 ,  ,  ,  , 48.1 , 27.4 , 11.7 , 0.0 , 12.7 , 0.0 , 0.0 , 0.0 , 62.8 , 31.8 , 46.1 , 90.9 , 70.4 , 83.3 , 46.1 
163,이진하,23롯, 142.3 , 9 , 8.0 , 142.3 , 131.0 ,  , 134.0 , 132.4 ,  ,  ,  , 42.1 , 41.3 , 0.0 , 3.2 , 13.5 , 0.0 , 0.0 , 0.0 , 65.3 , 23.4 , 39.7 , 90.6 , 88.9 , 90.0 , 38.9 
,박승주,23키, 142.3 , 18 , 18.0 , 142.3 , 132.6 ,  , 132.9 , 134.0 ,  ,  ,  , 68.7 , 27.8 , 0.0 , 3.3 , 0.3 , 0.0 , 0.0 , 0.0 , 66.4 , 30.6 , 44.8 , 84.5 , 75.0 , 80.6 , 39.7 
,오원석,23S, 142.3 , 28 , 144.2 , 142.3 , 131.0 , 114.6 , 128.6 ,  , 139.3 ,  ,  , 48.8 , 30.4 , 8.0 , 12.7 , 0.0 , 0.1 , 0.0 , 0.0 , 64.2 , 27.9 , 43.1 , 90.3 , 68.3 , 82.0 , 41.8 
,이준호,23N, 142.3 , 17 , 31.2 , 142.3 , 128.9 , 121.8 , 132.8 ,  , 140.1 ,  ,  , 54.2 , 16.2 , 13.9 , 5.4 , 0.0 , 10.3 , 0.0 , 0.0 , 64.5 , 18.6 , 39.3 , 87.6 , 79.4 , 85.5 , 45.0 
167,이민호,23L, 142.2 , 5 , 19.2 , 142.2 , 134.4 , 120.1 , 131.5 ,  , 140.0 ,  ,  , 27.1 , 43.4 , 15.4 , 13.8 , 0.0 , 0.3 , 0.0 , 0.0 , 71.3 , 32.5 , 49.3 , 97.4 , 73.5 , 88.5 , 43.4 
,박준영,23한, 142.2 , 4 , 4.1 , 142.2 , 130.7 , 116.1 ,  , 132.8 ,  ,  ,  , 71.3 , 3.0 , 21.8 , 0.0 , 4.0 , 0.0 , 0.0 , 0.0 , 37.1 , 22.7 , 27.7 , 92.3 , 60.0 , 75.0 , 34.7 
169,파노니,23K, 142.1 , 16 , 82.1 , 142.1 , 138.6 , 119.3 , 133.6 ,  ,  ,  ,  , 29.6 , 47.9 , 14.4 , 8.1 , 0.0 , 0.0 , 0.0 , 0.0 , 64.8 , 31.0 , 46.0 , 89.0 , 70.5 , 82.1 , 44.5 
,문성현,23키, 142.1 , 32 , 28.1 , 142.1 , 130.5 , 117.0 ,  , 131.0 ,  ,  ,  , 68.2 , 28.1 , 0.2 , 0.0 , 3.5 , 0.0 , 0.0 , 0.0 , 61.1 , 29.1 , 43.9 , 90.6 , 69.7 , 83.2 , 46.4 
,류희운,23한, 142.1 , 3 , 4.0 , 142.1 , 136.7 ,  ,  , 131.3 ,  ,  ,  , 50.7 , 43.3 , 0.0 , 0.0 , 6.0 , 0.0 , 0.0 , 0.0 , 52.0 , 30.2 , 38.2 , 100.0 , 69.2 , 84.6 , 36.8 
,박윤철,23한, 142.1 , 3 , 3.1 , 142.1 , 130.0 , 113.3 , 124.4 ,  ,  ,  ,  , 35.8 , 23.5 , 3.7 , 37.0 , 0.0 , 0.0 , 0.0 , 0.0 , 75.0 , 18.4 , 40.7 , 83.3 , 77.8 , 81.8 , 39.5 
173,양현종,23K, 142.0 , 29 , 171.0 , 142.0 , 127.9 , 119.4 , 129.5 ,  ,  ,  ,  , 53.2 , 21.2 , 2.6 , 23.0 , 0.0 , 0.0 , 0.0 , 0.0 , 67.4 , 32.9 , 48.4 , 88.1 , 68.1 , 80.6 , 44.9 
,이재익,23삼, 142.0 , 51 , 41.0 , 142.0 , 125.4 , 119.2 ,  ,  , 138.1 ,  ,  , 2.7 , 15.3 , 10.8 , 0.1 , 0.0 , 71.0 , 0.0 , 0.0 , 59.9 , 25.3 , 41.7 , 88.3 , 76.3 , 84.5 , 47.3 
175,김창훈,23롯, 141.9 , 3 , 4.1 , 141.9 , 134.1 , 114.3 ,  , 125.6 , 137.0 ,  ,  , 40.0 , 32.7 , 10.9 , 0.0 , 14.5 , 1.8 , 0.0 , 0.0 , 60.0 , 19.2 , 41.1 , 88.9 , 80.0 , 87.0 , 53.6 
,김서준,23삼, 141.9 , 8 , 7.2 , 141.9 , 125.2 , 123.2 , 121.5 ,  ,  ,  ,  , 78.9 , 3.5 , 3.5 , 14.1 , 0.0 , 0.0 , 0.0 , 0.0 , 63.9 , 18.5 , 38.0 , 92.3 , 86.7 , 90.7 , 43.0 
,나원탁,23롯, 141.9 , 1 , 0.2 , 141.9 ,  , 111.9 ,  , 126.0 ,  ,  ,  , 51.9 , 0.0 , 29.6 , 0.0 , 18.5 , 0.0 , 0.0 , 0.0 , 50.0 , 13.3 , 29.6 , 50.0 , 100.0 , 62.5 , 44.4 
,정구범,23N, 141.9 , 4 , 12.2 , 141.9 , 131.0 , 119.6 , 133.3 , 131.6 ,  ,  ,  , 47.9 , 25.2 , 9.1 , 5.2 , 12.6 , 0.0 , 0.0 , 0.0 , 70.7 , 21.2 , 41.3 , 93.9 , 69.4 , 86.4 , 40.6 
