순,이름,팀/포지션,정렬용,출장,이닝,평균구속_직구,평균구속_슬라,평균구속_커브,평균구속_첸졉,평균구속_스플,평균구속_싱커,평균구속_너클,평균구속_기타,직구구사율,슬라구사율,커브구사율,첸졉구사율,스플구사율,싱커구사율,너클구사율,기타구사율,Swing%IZ,Swing%OZ,Swing%All,Contact%IZ,Contact%OZ,Contact%All,Zone%
27,브랜든,23두, 147.3 , 18 , 104.2 , 147.3 , 135.3 , 122.2 , 131.8 ,  ,  ,  ,  , 39.7 , 48.0 , 4.3 , 8.0 , 0.0 , 0.0 , 0.0 , 0.0 , 65.6 , 34.7 , 47.2 , 87.3 , 60.1 , 75.4 , 40.4 
,유영찬,23L, 147.3 , 67 , 68.0 , 147.3 , 135.7 , 121.2 ,  , 135.6 ,  ,  ,  , 56.5 , 26.2 , 0.5 , 0.0 , 16.8 , 0.0 , 0.0 , 0.0 , 69.4 , 29.8 , 45.4 , 86.5 , 62.4 , 76.9 , 39.4 
29,문용익,23삼, 147.1 , 14 , 13.0 , 147.1 , 137.4 , 123.8 ,  ,  ,  ,  ,  , 60.8 , 33.3 , 5.9 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 65.6 , 24.7 , 36.5 , 95.2 , 53.8 , 75.3 , 28.8 
30,김원중,23롯, 147.0 , 63 , 63.2 , 147.0 , 132.0 , 118.2 ,  , 133.1 ,  ,  ,  , 44.3 , 0.3 , 13.3 , 0.0 , 42.2 , 0.0 , 0.0 , 0.0 , 68.2 , 32.6 , 46.6 , 82.1 , 50.2 , 68.5 , 39.2 
,앤더슨,23K, 147.0 , 14 , 79.0 , 147.0 , 136.8 , 129.6 , 136.0 ,  , 144.8 ,  ,  , 34.0 , 46.7 , 7.8 , 2.1 , 0.0 , 9.4 , 0.0 , 0.0 , 67.1 , 29.6 , 46.5 , 89.4 , 58.4 , 78.5 , 45.0 
32,뷰캐넌,23삼, 146.8 , 30 , 188.0 , 146.8 , 142.0 , 123.7 , 132.6 ,  , 146.5 ,  ,  , 14.3 , 37.8 , 15.9 , 21.2 , 0.0 , 10.7 , 0.0 , 0.0 , 68.1 , 32.5 , 49.5 , 86.7 , 70.4 , 81.1 , 47.7 
,백승현,23L, 146.8 , 42 , 40.0 , 146.8 , 139.0 ,  ,  , 134.0 ,  ,  ,  , 59.1 , 31.5 , 0.0 , 0.0 , 9.4 , 0.0 , 0.0 , 0.0 , 62.8 , 28.9 , 43.2 , 84.3 , 72.2 , 79.6 , 42.3 
,장현식,23K, 146.8 , 56 , 51.0 , 146.8 , 133.6 ,  ,  , 138.2 ,  ,  ,  , 67.4 , 23.3 , 0.0 , 0.0 , 9.4 , 0.0 , 0.0 , 0.0 , 75.6 , 28.6 , 48.4 , 83.5 , 66.2 , 77.6 , 42.1 
,김유성,23두, 146.8 , 7 , 6.1 , 146.8 , 130.8 , 117.7 , 130.8 , 137.0 ,  ,  ,  , 65.1 , 22.1 , 8.7 , 2.9 , 1.2 , 0.0 , 0.0 , 0.0 , 66.1 , 21.6 , 36.0 , 75.7 , 60.0 , 69.4 , 32.6 
36,신헌민,23S, 146.7 , 11 , 12.0 , 146.7 , 134.7 , 125.3 ,  ,  ,  ,  ,  , 66.8 , 9.8 , 23.4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 68.6 , 21.2 , 42.2 , 94.4 , 89.3 , 93.0 , 44.3 
37,정성곤,23S, 146.6 , 6 , 4.1 , 146.6 , 132.7 , 120.3 , 136.0 ,  ,  ,  ,  , 65.6 , 31.1 , 2.5 , 0.8 , 0.0 , 0.0 , 0.0 , 0.0 , 67.5 , 26.8 , 40.2 , 85.2 , 54.5 , 71.4 , 32.8 
38,윤산흠,23한, 146.5 , 5 , 3.0 , 146.5 ,  , 131.1 ,  ,  ,  ,  ,  , 66.3 , 0.0 , 33.7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 22.0 , 30.1 , 66.7 , 76.9 , 72.0 , 28.9 
,메디나,23K, 146.5 , 12 , 58.0 , 146.5 , 134.2 , 128.0 , 136.6 ,  , 146.5 ,  ,  , 3.6 , 34.5 , 5.4 , 7.8 , 0.0 , 48.8 , 0.0 , 0.0 , 58.3 , 30.2 , 42.6 , 87.5 , 70.0 , 80.6 , 44.0 
40,이용찬,23N, 146.4 , 60 , 61.0 , 146.4 , 134.2 , 122.9 ,  , 130.2 ,  ,  ,  , 48.1 , 1.9 , 4.7 , 0.0 , 45.3 , 0.0 , 0.0 , 0.0 , 69.0 , 31.8 , 50.2 , 84.4 , 57.8 , 75.9 , 49.4 
41,켈리,23L, 146.3 , 30 , 178.2 , 146.3 , 139.4 , 129.4 , 134.7 ,  , 144.8 ,  ,  , 24.2 , 14.9 , 28.5 , 10.6 , 0.0 , 21.8 , 0.0 , 0.0 , 65.0 , 35.2 , 48.7 , 90.6 , 68.4 , 81.9 , 45.5 
,딜런,23두, 146.3 , 2 , 9.0 , 146.3 , 132.9 , 126.5 , 134.2 ,  ,  ,  ,  , 57.0 , 12.2 , 12.8 , 18.0 , 0.0 , 0.0 , 0.0 , 0.0 , 69.3 , 33.0 , 48.6 , 90.4 , 72.7 , 83.5 , 42.9 
43,후라도,23키, 146.2 , 30 , 183.2 , 146.2 , 137.1 , 129.8 , 133.0 ,  , 144.9 ,  ,  , 27.1 , 16.5 , 14.0 , 16.2 , 0.0 , 26.2 , 0.0 , 0.0 , 65.0 , 31.7 , 47.6 , 86.7 , 68.1 , 80.2 , 47.6 
44,페냐,23한, 146.0 , 32 , 177.1 , 146.0 , 132.2 , 129.5 , 133.6 ,  , 145.0 ,  ,  , 33.6 , 1.5 , 18.6 , 31.7 , 0.0 , 14.5 , 0.0 , 0.0 , 65.3 , 31.8 , 45.8 , 85.3 , 58.1 , 74.3 , 41.8 
