순,이름,팀/포지션,정렬용,출장,이닝,땅볼,뜬공,GO/FO,InP%,타구내야%,타구외야%,BABIP,내야타율,외야타율,내야뜬공N,내야뜬공%,내야안타N,내야안타%,실책출루,포스O출루,번트안타,번트아웃,번트타율,번트시도,번트%
252,최원준,23두, 0.43 , 26 , 107.2 , 68 , 157 , 0.43 , 74.4 , 34.9 , 65.1 , .322 , .033 , .513 , 48 , 30.6 , 4 , 3.4 , 2 , 6 , 1 , 1 , .500 , 7 , 14.3 
253,김진성,23L, 0.40 , 80 , 70.1 , 36 , 89 , 0.40 , 62.6 , 41.0 , 59.0 , .205 , .059 , .378 , 28 , 31.5 , 4 , 9.8 , 1 , 5 , 1 , 0 , 1.000 , 7 , 14.3 
254,윤호솔,23L, 0.40 , 4 , 3.2 , 2 , 5 , 0.40 , 58.8 , 20.0 , 80.0 , .300 , .000 , .375 , 0 , 0.0 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
,조성훈,23S, 0.40 , 2 , 7.0 , 4 , 10 , 0.40 , 70.6 , 33.3 , 66.7 , .417 , .125 , .563 , 3 , 30.0 , 1 , 10.0 , 0 , 1 , 0 , 0 ,  , 0 ,  
,김정우,23두, 0.40 , 7 , 6.2 , 4 , 10 , 0.40 , 65.8 , 44.0 , 56.0 , .417 , .182 , .643 , 5 , 50.0 , 2 , 18.2 , 0 , 1 , 0 , 0 ,  , 0 ,  
257,노건우,23삼, 0.39 , 16 , 12.1 , 7 , 18 , 0.39 , 72.3 , 29.8 , 70.2 , .432 , .071 , .636 , 6 , 33.3 , 1 , 4.6 , 1 , 2 , 0 , 0 ,  , 0 ,  
258,윤대경,23한, 0.37 , 47 , 47.2 , 29 , 79 , 0.37 , 72.9 , 43.8 , 56.3 , .227 , .079 , .383 , 29 , 36.7 , 5 , 13.9 , 2 , 2 , 0 , 1 , .000 , 3 , 0.0 
259,박신지,23두, 0.36 , 15 , 26.0 , 16 , 44 , 0.36 , 77.5 , 29.3 , 70.7 , .384 , .103 , .514 , 10 , 22.7 , 3 , 7.7 , 0 , 1 , 0 , 0 ,  , 1 , 0.0 
260,김서준,23삼, 0.33 , 8 , 7.2 , 5 , 15 , 0.33 , 74.4 , 37.9 , 62.1 , .310 , .000 , .500 , 6 , 40.0 , 0 , 0.0 , 0 , 1 , 0 , 0 ,  , 0 ,  
,류희운,23한, 0.33 , 3 , 4.0 , 2 , 6 , 0.33 , 70.0 , 35.7 , 64.3 , .385 , .000 , .667 , 3 , 50.0 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
