순,이름,팀/포지션,정렬용,출장,이닝,선발RAA,구원RAA,종합RAA,대체RUN선발,대체RUN구원,대체RUN종합,선발RAR,구원RAR,종합RAR,선발WAA,구원WAA,종합WAA,선발WAR,구원WAR,종합WAR,fWAR,RA9-WAR
33,최지민,23K, 2.18 , 58 , 59.1 ,  , 13.78 , 13.78 , 0.00 , 7.59 , 10.35 ,  , 25.39 , 25.39 , 0.00 , 1.39 , 1.39 , 0.00 , 2.18 , 2.18 , 2.18 , 2.18 
34,윌커슨,23롯, 2.17 , 13 , 79.2 , 10.90 ,  , 10.90 , 9.70 , 0.00 , 12.12 , 23.02 ,  , 23.02 , 1.11 ,  , 1.11 , 2.17 ,  , 2.17 , 2.17 , 2.17 
35,백승현,23L, 2.07 , 42 , 40.0 ,  , 13.37 , 13.37 , 0.00 , 5.08 , 7.50 ,  , 23.27 , 23.27 , 0.00 , 1.53 , 1.53 , 0.00 , 2.07 , 2.07 , 2.07 , 2.07 
36,최원태,23키L, 2.03 , 26 , 146.2 , 2.26 ,  , 2.26 , 18.98 , 0.00 , 23.73 , 25.98 ,  , 25.98 , 0.08 ,  , 0.08 , 2.03 ,  , 2.03 , 2.03 , 2.03 
37,이태양,23한, 2.01 , 50 , 100.1 , 0.15 , 9.12 , 9.27 , 6.55 , 6.39 , 15.40 , 8.34 , 15.44 , 23.78 , -0.04 , 0.71 , 0.67 , 0.63 , 1.37 , 2.01 , 2.01 , 2.01 
38,전상현,23K, 1.97 , 64 , 58.2 ,  , 10.59 , 10.59 , 0.00 , 7.55 , 11.76 ,  , 24.96 , 24.96 , 0.00 , 1.19 , 1.19 , 0.00 , 1.97 , 1.97 , 1.97 , 1.97 
39,켈리,23L, 1.95 , 30 , 178.2 , -2.40 ,  , -2.40 , 23.43 , 0.00 , 29.28 , 26.89 ,  , 26.89 , -0.43 ,  , -0.43 , 1.95 ,  , 1.95 , 1.95 , 1.95 
40,김원중,23롯, 1.95 , 63 , 63.2 ,  , 8.96 , 8.96 , 0.00 , 8.20 , 14.33 ,  , 26.85 , 26.85 , 0.00 , 1.10 , 1.10 , 0.00 , 1.95 , 1.95 , 1.95 , 1.95 
41,임창민,23키, 1.89 , 51 , 46.2 ,  , 8.66 , 8.66 , 0.00 , 6.00 , 11.81 ,  , 25.44 , 25.44 , 0.00 , 1.27 , 1.27 , 0.00 , 1.89 , 1.89 , 1.89 , 1.89 
42,손동현,23K, 1.83 , 64 , 73.2 ,  , 8.99 , 8.99 , 0.00 , 9.49 , 13.68 ,  , 24.04 , 24.04 , 0.00 , 0.85 , 0.85 , 0.00 , 1.83 , 1.83 , 1.83 , 1.83 
43,김영규,23N, 1.82 , 63 , 61.2 ,  , 10.53 , 10.53 , 0.00 , 7.93 , 10.79 ,  , 22.25 , 22.25 , 0.00 , 1.00 , 1.00 , 0.00 , 1.82 , 1.82 , 1.82 , 1.82 
44,오승환,23삼, 1.81 , 58 , 62.2 , -0.42 , 7.78 , 7.36 , 0.67 , 7.43 , 14.66 , 0.42 , 25.39 , 25.80 , -0.05 , 1.02 , 0.97 , 0.02 , 1.79 , 1.81 , 1.81 , 1.81 
45,산체스,23한, 1.79 , 24 , 126.0 , 2.38 ,  , 2.38 , 16.29 , 0.00 , 20.37 , 22.74 ,  , 22.74 , 0.11 ,  , 0.11 , 1.79 ,  , 1.79 , 1.79 , 1.79 
46,정해영,23K, 1.76 , 52 , 49.1 ,  , 8.03 , 8.03 , 0.00 , 6.35 , 11.90 ,  , 23.94 , 23.94 , 0.00 , 1.10 , 1.10 , 0.00 , 1.76 , 1.76 , 1.76 , 1.76 
47,나균안,23롯, 1.75 , 23 , 130.1 , 1.47 ,  , 1.47 , 16.90 , 0.00 , 21.12 , 22.59 ,  , 22.59 , 0.02 ,  , 0.02 , 1.75 ,  , 1.75 , 1.75 , 1.75 
48,이의리,23K, 1.74 , 28 , 131.2 , 1.23 ,  , 1.23 , 17.10 , 0.00 , 21.37 , 22.60 ,  , 22.60 , -0.01 ,  , -0.01 , 1.74 ,  , 1.74 , 1.74 , 1.74 
49,김명신,23두, 1.59 , 70 , 79.0 ,  , 6.83 , 6.83 , 0.00 , 10.22 , 13.97 ,  , 21.44 , 21.44 , 0.00 , 0.53 , 0.53 , 0.00 , 1.59 , 1.59 , 1.59 , 1.59 
50,최준용,23롯, 1.56 , 47 , 47.2 ,  , 9.29 , 9.29 , 0.00 , 6.12 , 8.46 ,  , 18.74 , 18.74 , 0.00 , 0.92 , 0.92 , 0.00 , 1.56 , 1.56 , 1.56 , 1.56 
51,최승용,23두, 1.56 , 34 , 111.0 , 0.00 , 2.56 , 2.56 , 12.12 , 2.31 , 17.63 , 15.15 , 4.68 , 19.83 , -0.10 , 0.17 , 0.08 , 1.14 , 0.41 , 1.56 , 1.56 , 1.56 
52,구창모,23N, 1.55 , 11 , 51.2 , 6.29 , 2.61 , 8.90 , 5.79 , 0.55 , 7.81 , 13.52 , 2.76 , 16.28 , 0.63 , 0.23 , 0.86 , 1.26 , 0.30 , 1.55 , 1.55 , 1.55 
53,유영찬,23L, 1.55 , 67 , 68.0 ,  , 7.51 , 7.51 , 0.00 , 8.78 , 12.00 ,  , 20.21 , 20.21 , 0.00 , 0.64 , 0.64 , 0.00 , 1.55 , 1.55 , 1.55 , 1.55 
54,윤영철,23K, 1.48 , 25 , 122.2 , -1.22 , 0.84 , -0.38 , 15.83 , 0.20 , 20.08 , 18.57 , 1.24 , 19.80 , -0.25 , 0.10 , -0.15 , 1.36 , 0.12 , 1.48 , 1.48 , 1.48 
