순,이름,팀/포지션,정렬용,출장,이닝,타자,투구,P/PA,S루킹,S헛스윙,S파울,S타격,투구비율S%,투구비율B%,배트적극성전체%,배트적극성초구%,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스N,배팅찬스스윙,배팅찬스W%
,최지광,23삼, 4.05 , 22 , 17.1 , 82 , 332 , 4.05 , 31.3 , 13.5 , 29.3 , 26.0 , 62.7 , 37.4 , 43.1 , 19.5 , 19.6 , 10.1 , 72.3 , 36.3 , 10 , 8 , 44.4 , 97 , 11 , 11.3 
198,박윤철,23한, 4.05 , 3 , 3.1 , 20 , 81 , 4.05 , 23.3 , 14.0 , 30.2 , 32.6 , 53.1 , 46.9 , 40.7 , 40.0 , 18.2 , 9.0 , 90.0 , 44.4 , 0 , 1 , 100.0 , 21 , 3 , 14.3 
199,이민호,23L, 4.06 , 5 , 19.2 , 91 , 369 , 4.06 , 21.6 , 9.1 , 37.5 , 31.9 , 62.9 , 37.1 , 49.3 , 23.1 , 11.5 , 7.1 , 91.3 , 36.5 , 7 , 0 , 0.0 , 127 , 10 , 7.9 
200,김준형,23키, 4.06 , 8 , 7.2 , 36 , 146 , 4.06 , 32.1 , 13.6 , 27.2 , 27.2 , 55.5 , 44.5 , 37.7 , 27.8 , 20.0 , 8.9 , 80.0 , 40.5 , 5 , 0 , 0.0 , 38 , 2 , 5.3 
201,김태오,23K, 4.06 , 5 , 7.1 , 35 , 142 , 4.06 , 28.6 , 8.3 , 29.8 , 33.3 , 59.2 , 40.9 , 42.3 , 22.9 , 11.7 , 6.1 , 88.0 , 37.5 , 1 , 2 , 66.7 , 73 , 5 , 6.9 
202,맥키니,23키, 4.06 , 12 , 59.1 , 268 , 1089 , 4.06 , 29.2 , 14.3 , 26.4 , 30.1 , 58.5 , 41.5 , 41.4 , 20.2 , 20.2 , 10.1 , 78.6 , 39.7 , 32 , 7 , 18.0 , 311 , 34 , 10.9 
203,이진하,23롯, 4.07 , 9 , 8.0 , 31 , 126 , 4.07 , 28.6 , 7.1 , 28.6 , 35.7 , 55.6 , 44.4 , 39.7 , 19.4 , 10.0 , 5.0 , 90.0 , 41.2 , 2 , 0 , 0.0 , 52 , 4 , 7.7 
204,김건희,23키, 4.07 , 3 , 2.0 , 14 , 57 , 4.07 , 15.6 , 15.6 , 31.3 , 37.5 , 56.1 , 43.9 , 47.4 , 35.7 , 18.5 , 11.1 , 100.0 , 16.7 , 0 , 0 ,  , 16 , 3 , 18.8 
205,이승현,23삼, 4.08 , 60 , 60.0 , 264 , 1077 , 4.08 , 24.9 , 11.3 , 34.2 , 29.6 , 64.9 , 35.1 , 48.8 , 28.0 , 15.1 , 9.1 , 82.4 , 32.8 , 29 , 13 , 31.0 , 287 , 24 , 8.4 
206,홍성민,23키, 4.08 , 2 , 2.0 , 12 , 49 , 4.08 , 29.6 , 3.7 , 29.6 , 37.0 , 55.1 , 44.9 , 38.8 , 16.7 , 5.3 , 2.6 , 85.7 , 50.0 , 0 , 1 , 100.0 , 13 , 1 , 7.7 
207,김원중,23롯, 4.09 , 63 , 63.2 , 265 , 1084 , 4.09 , 26.5 , 23.1 , 28.1 , 22.3 , 63.4 , 36.6 , 46.6 , 26.0 , 31.5 , 17.1 , 62.1 , 33.0 , 72 , 10 , 12.2 , 322 , 19 , 5.9 
208,김진성,23L, 4.09 , 80 , 70.1 , 270 , 1105 , 4.09 , 21.3 , 20.5 , 34.2 , 24.0 , 65.9 , 34.1 , 51.9 , 35.2 , 26.0 , 16.0 , 73.3 , 30.6 , 57 , 12 , 17.4 , 350 , 26 , 7.4 
,하준영,23N, 4.09 , 57 , 49.0 , 215 , 880 , 4.09 , 30.6 , 18.0 , 24.8 , 26.6 , 61.9 , 38.1 , 43.0 , 28.8 , 25.9 , 13.3 , 69.7 , 39.1 , 41 , 8 , 16.3 , 220 , 21 , 9.6 
