순,이름,팀/포지션,정렬용,타석,<2&3B_N,<2&3B_%,O&2B_N,O&2B_%,O12_N,O12_%,O23_N,O23_%,O34_N,O34_%,O+_N,O+_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,H+_N,H+_%,ADV_N,ADV_%,ADV_G
138,김동진,23삼2B, 137 , 137 , 7 , 53.9 , 0 , 0.0 , 1 , 5.0 , 1 , 10.0 , 2 , 25.0 , 4 , 10.5 , 0 , 0.0 , 2 , 40.0 , 0 ,  , 2 , 15.4 , 6 , 11.8 , -8 
139,안치영,23KRF, 136 , 136 , 8 , 72.7 , 1 , 33.3 , 2 , 13.3 , 6 , 54.6 , 3 , 50.0 , 11 , 34.4 , 0 , 0.0 , 1 , 20.0 , 1 , 100.0 , 2 , 11.8 , 13 , 26.5 , -1 
,김준태,23KC, 136 , 136 , 3 , 100.0 , 1 , 100.0 , 1 , 6.7 , 2 , 50.0 , 0 ,  , 3 , 15.8 , 2 , 40.0 , 7 , 100.0 , 3 , 75.0 , 12 , 75.0 , 15 , 42.9 , 5 
141,조형우,23SC, 133 , 133 , 6 , 54.6 , 0 , 0.0 , 1 , 5.6 , 1 , 11.1 , 2 , 28.6 , 4 , 11.8 , 1 , 25.0 , 2 , 66.7 , 2 , 100.0 , 5 , 55.6 , 9 , 20.9 , -4 
142,이재원,23LLF, 129 , 129 , 6 , 60.0 , 5 , 71.4 , 2 , 11.8 , 4 , 44.4 , 4 , 50.0 , 10 , 29.4 , 0 , 0.0 , 2 , 50.0 , 1 , 100.0 , 3 , 50.0 , 13 , 32.5 , 2 
143,김호재,23삼3B, 127 , 127 , 10 , 83.3 , 2 , 100.0 , 3 , 21.4 , 3 , 42.9 , 3 , 60.0 , 9 , 34.6 , 4 , 80.0 , 0 , 0.0 , 1 , 100.0 , 5 , 55.6 , 14 , 40.0 , 5 
144,서건창,23L2B, 126 , 126 , 7 , 77.8 , 0 ,  , 3 , 15.8 , 0 , 0.0 , 3 , 60.0 , 6 , 21.4 , 1 , 25.0 , 1 , 50.0 , 1 , 100.0 , 3 , 42.9 , 9 , 25.7 , 1 
145,김재성,23삼C, 125 , 125 , 4 , 66.7 , 2 , 50.0 , 1 , 5.9 , 4 , 40.0 , 1 , 33.3 , 6 , 20.0 , 0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 1 , 20.0 , 7 , 20.0 , -1 
146,이학주,23롯SS, 122 , 122 , 3 , 42.9 , 1 , 100.0 , 0 , 0.0 , 5 , 55.6 , 0 , 0.0 , 5 , 18.5 , 2 , 28.6 , 1 , 33.3 , 0 ,  , 3 , 30.0 , 8 , 21.6 , -3 
147,김인태,23두RF, 115 , 115 , 3 , 37.5 , 1 , 16.7 , 2 , 11.8 , 1 , 12.5 , 0 , 0.0 , 3 , 10.0 , 3 , 50.0 , 4 , 100.0 , 0 , 0.0 , 7 , 53.9 , 10 , 23.3 , -2 
148,김수환,23키1B, 114 , 114 , 4 , 50.0 , 2 , 40.0 , 0 , 0.0 , 1 , 10.0 , 1 , 20.0 , 2 , 8.0 , 2 , 22.2 , 2 , 100.0 , 2 , 100.0 , 6 , 46.2 , 8 , 21.1 , -3 
149,박정현,23한SS, 113 , 113 , 4 , 80.0 , 1 , 33.3 , 1 , 5.3 , 3 , 30.0 , 1 , 50.0 , 5 , 16.1 , 2 , 50.0 , 0 ,  , 0 , 0.0 , 2 , 40.0 , 7 , 19.4 , -1 
150,강현우,23KC, 111 , 111 , 2 , 50.0 , 2 , 50.0 , 0 , 0.0 , 2 , 22.2 , 1 , 33.3 , 3 , 10.0 , 1 , 25.0 , 4 , 80.0 , 2 , 50.0 , 7 , 53.9 , 10 , 23.3 , -3 
151,김호령,23KCF, 107 , 107 , 5 , 83.3 , 1 , 100.0 , 1 , 6.7 , 0 , 0.0 , 0 , 0.0 , 1 , 4.8 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 1 , 3.7 , -5 
,박석민,23N3B, 107 , 107 , 5 , 50.0 , 4 , 80.0 , 1 , 8.3 , 3 , 60.0 , 2 , 33.3 , 6 , 26.1 , 2 , 25.0 , 3 , 100.0 , 0 ,  , 5 , 45.5 , 11 , 32.4 , 0 
153,김한별,23NSS, 105 , 105 , 3 , 100.0 , 0 , 0.0 , 1 , 8.3 , 2 , 50.0 , 1 , 100.0 , 4 , 23.5 , 3 , 42.9 , 2 , 66.7 , 0 ,  , 5 , 50.0 , 9 , 33.3 , 2 
154,장준원,23KSS, 104 , 104 , 4 , 50.0 , 1 , 50.0 , 2 , 18.2 , 0 , 0.0 , 1 , 20.0 , 3 , 13.0 , 2 , 33.3 , 2 , 100.0 , 2 , 100.0 , 6 , 60.0 , 9 , 27.3 , -1 
,한승택,23KC, 104 , 104 , 6 , 66.7 , 2 , 100.0 , 2 , 22.2 , 1 , 20.0 , 0 , 0.0 , 3 , 17.7 , 1 , 20.0 , 1 , 50.0 , 0 ,  , 2 , 28.6 , 5 , 20.8 , -1 
156,김영웅,23삼3B, 103 , 103 , 7 , 77.8 , 0 , 0.0 , 4 , 26.7 , 0 , 0.0 , 3 , 60.0 , 7 , 25.9 , 0 , 0.0 , 1 , 100.0 , 0 , 0.0 , 1 , 20.0 , 8 , 25.0 , 0 
157,정보근,23롯C, 101 , 101 , 6 , 85.7 , 1 , 50.0 , 0 , 0.0 , 2 , 25.0 , 1 , 50.0 , 3 , 17.7 , 0 , 0.0 , 4 , 100.0 , 2 , 50.0 , 6 , 42.9 , 9 , 29.0 , -2 
,정주현,23L1B, 101 , 101 , 5 , 71.4 , 1 , 50.0 , 1 , 9.1 , 1 , 20.0 , 2 , 50.0 , 4 , 20.0 , 2 , 25.0 , 2 , 40.0 , 0 ,  , 4 , 30.8 , 8 , 24.2 , -3 
159,신범수,23KC, 100 , 100 , 5 , 83.3 , 2 , 50.0 , 1 , 5.9 , 3 , 50.0 , 1 , 100.0 , 5 , 20.8 , 1 , 20.0 , 2 , 100.0 , 0 ,  , 3 , 42.9 , 8 , 25.8 , 2 
160,양찬열,23두RF, 99 , 99 , 3 , 50.0 , 0 , 0.0 , 2 , 18.2 , 0 , 0.0 , 2 , 50.0 , 4 , 19.1 , 2 , 25.0 , 0 , 0.0 , 0 , 0.0 , 2 , 15.4 , 6 , 17.7 , -5 
161,한준수,23KC, 94 , 94 , 3 , 100.0 , 1 , 25.0 , 1 , 10.0 , 1 , 11.1 , 0 ,  , 2 , 10.5 , 4 , 50.0 , 4 , 100.0 , 1 , 100.0 , 9 , 69.2 , 11 , 34.4 , 2 
,노수광,23한LF, 94 , 94 , 4 , 66.7 , 1 , 50.0 , 2 , 14.3 , 1 , 25.0 , 2 , 66.7 , 5 , 23.8 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 5 , 20.0 , -1 
163,안주형,23삼2B, 91 , 91 , 4 , 100.0 , 1 , 33.3 , 2 , 12.5 , 4 , 57.1 , 2 , 100.0 , 8 , 32.0 , 1 , 14.3 , 5 , 71.4 , 0 ,  , 6 , 42.9 , 14 , 35.9 , 3 
164,김대한,23두RF, 89 , 89 , 0 , 0.0 , 1 , 50.0 , 0 , 0.0 , 1 , 20.0 , 0 , 0.0 , 1 , 4.8 , 1 , 33.3 , 1 , 50.0 , 1 , 50.0 , 3 , 42.9 , 4 , 14.3 , -5 
165,홍현빈,23KCF, 86 , 86 , 0 , 0.0 , 1 , 50.0 , 0 , 0.0 , 1 , 25.0 , 0 , 0.0 , 1 , 4.4 , 1 , 20.0 , 0 , 0.0 , 0 ,  , 1 , 16.7 , 2 , 6.9 , -5 
,오그레디,23한LF, 86 , 86 , 2 , 25.0 , 1 , 33.3 , 1 , 7.1 , 2 , 33.3 , 1 , 14.3 , 4 , 14.8 , 1 , 50.0 , 2 , 100.0 , 1 , 50.0 , 4 , 66.7 , 8 , 24.2 , -2 
167,김형준,23NC, 82 , 82 , 2 , 50.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 1 , 33.3 , 1 , 100.0 , 0 ,  , 2 , 50.0 , 2 , 8.7 , -4 
