순,이름,팀/포지션,정렬용,타석,<2&3B_N,<2&3B_%,O&2B_N,O&2B_%,O12_N,O12_%,O23_N,O23_%,O34_N,O34_%,O+_N,O+_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,H+_N,H+_%,ADV_N,ADV_%,ADV_G
1,홍창기,23LRF, 643 , 643 , 25 , 80.7 , 13 , 65.0 , 9 , 17.7 , 13 , 36.1 , 12 , 70.6 , 34 , 32.7 , 13 , 43.3 , 24 , 75.0 , 3 , 33.3 , 40 , 56.3 , 74 , 42.3 , 16 
2,김혜성,23키2B, 621 , 621 , 14 , 63.6 , 13 , 61.9 , 6 , 8.8 , 14 , 40.0 , 9 , 56.3 , 29 , 24.4 , 10 , 21.7 , 11 , 55.0 , 0 , 0.0 , 21 , 30.0 , 50 , 26.5 , -6 
3,손아섭,23NDH, 609 , 609 , 22 , 66.7 , 8 , 88.9 , 7 , 11.3 , 15 , 62.5 , 10 , 55.6 , 32 , 30.8 , 12 , 27.9 , 14 , 58.3 , 5 , 55.6 , 31 , 40.8 , 63 , 35.0 , 8 
4,소크라테스,23KCF, 608 , 608 , 24 , 63.2 , 15 , 75.0 , 12 , 12.8 , 22 , 52.4 , 15 , 55.6 , 49 , 30.1 , 11 , 24.4 , 18 , 69.2 , 3 , 33.3 , 32 , 40.0 , 81 , 33.3 , 10 
5,피렐라,23삼LF, 605 , 605 , 16 , 50.0 , 15 , 51.7 , 9 , 10.3 , 8 , 20.0 , 6 , 28.6 , 23 , 15.5 , 7 , 15.2 , 14 , 77.8 , 4 , 36.4 , 25 , 33.3 , 48 , 21.5 , -15 
6,채은성,23한1B, 596 , 596 , 10 , 55.6 , 12 , 63.2 , 3 , 4.4 , 8 , 28.6 , 4 , 44.4 , 15 , 14.2 , 13 , 28.3 , 18 , 78.3 , 3 , 50.0 , 34 , 45.3 , 49 , 27.1 , -4 
7,노시환,23한3B, 595 , 595 , 15 , 62.5 , 14 , 63.6 , 7 , 9.5 , 11 , 30.6 , 6 , 46.2 , 24 , 19.5 , 4 , 15.4 , 14 , 77.8 , 6 , 60.0 , 24 , 44.4 , 48 , 27.1 , -2 
8,오스틴,23L1B, 583 , 583 , 20 , 52.6 , 7 , 38.9 , 6 , 8.1 , 7 , 14.0 , 10 , 37.0 , 23 , 15.2 , 7 , 18.9 , 18 , 75.0 , 6 , 40.0 , 31 , 40.8 , 54 , 23.8 , -16 
,정수빈,23두CF, 583 , 583 , 24 , 77.4 , 4 , 66.7 , 9 , 20.0 , 15 , 65.2 , 5 , 50.0 , 29 , 37.2 , 4 , 18.2 , 8 , 47.1 , 1 , 25.0 , 13 , 30.2 , 42 , 34.7 , 5 
10,양석환,23두1B, 581 , 581 , 26 , 65.0 , 6 , 21.4 , 4 , 5.0 , 7 , 16.3 , 15 , 57.7 , 26 , 17.5 , 6 , 15.0 , 12 , 70.6 , 2 , 40.0 , 20 , 32.3 , 46 , 21.8 , -15 
11,전준우,23롯DH, 559 , 559 , 18 , 58.1 , 9 , 47.4 , 9 , 13.2 , 9 , 26.5 , 13 , 56.5 , 31 , 24.8 , 12 , 27.3 , 14 , 63.6 , 2 , 50.0 , 28 , 40.0 , 59 , 30.3 , -1 
12,박해민,23LCF, 558 , 558 , 38 , 76.0 , 9 , 45.0 , 11 , 16.2 , 12 , 30.0 , 2 , 16.7 , 25 , 20.8 , 11 , 25.0 , 16 , 66.7 , 1 , 50.0 , 28 , 40.0 , 53 , 27.9 , -3 
13,김현수,23LDH, 556 , 556 , 37 , 78.7 , 19 , 70.4 , 15 , 17.7 , 26 , 49.1 , 16 , 64.0 , 57 , 35.0 , 17 , 42.5 , 25 , 80.7 , 7 , 77.8 , 49 , 61.3 , 106 , 43.6 , 30 
14,최정,23S3B, 552 , 552 , 21 , 67.7 , 11 , 52.4 , 8 , 10.0 , 7 , 20.6 , 9 , 50.0 , 24 , 18.2 , 6 , 20.7 , 10 , 66.7 , 6 , 66.7 , 22 , 41.5 , 46 , 24.9 , -6 
15,알포드,23KLF, 547 , 547 , 13 , 59.1 , 14 , 58.3 , 3 , 4.2 , 7 , 17.5 , 5 , 38.5 , 15 , 12.1 , 4 , 11.8 , 12 , 66.7 , 6 , 46.2 , 22 , 33.9 , 37 , 19.6 , -17 
16,문보경,23L3B, 542 , 542 , 20 , 66.7 , 6 , 66.7 , 9 , 15.8 , 12 , 37.5 , 4 , 28.6 , 25 , 24.3 , 6 , 23.1 , 10 , 66.7 , 8 , 66.7 , 24 , 45.3 , 49 , 31.4 , 4 
17,이재현,23삼SS, 538 , 538 , 29 , 74.4 , 3 , 25.0 , 6 , 10.9 , 8 , 22.9 , 8 , 47.1 , 22 , 20.6 , 3 , 13.0 , 13 , 68.4 , 4 , 57.1 , 20 , 40.8 , 42 , 26.9 , -6 
18,문성주,23LLF, 534 , 534 , 26 , 68.4 , 9 , 45.0 , 12 , 18.8 , 11 , 30.6 , 12 , 50.0 , 35 , 28.2 , 6 , 17.1 , 10 , 50.0 , 1 , 50.0 , 17 , 29.8 , 52 , 28.7 , -2 
19,박건우,23NRF, 533 , 533 , 30 , 69.8 , 13 , 54.2 , 5 , 6.0 , 12 , 30.8 , 13 , 52.0 , 30 , 20.3 , 8 , 24.2 , 13 , 65.0 , 8 , 66.7 , 29 , 44.6 , 59 , 27.7 , -4 
20,박성한,23SSS, 529 , 529 , 19 , 79.2 , 6 , 46.2 , 11 , 18.3 , 18 , 47.4 , 10 , 76.9 , 39 , 35.1 , 12 , 37.5 , 12 , 52.2 , 0 , 0.0 , 24 , 40.0 , 63 , 36.8 , 10 
21,에레디아,23SLF, 523 , 523 , 17 , 68.0 , 11 , 55.0 , 3 , 4.2 , 13 , 34.2 , 5 , 45.5 , 21 , 17.4 , 10 , 23.8 , 20 , 76.9 , 6 , 54.6 , 36 , 45.6 , 57 , 28.5 , -3 
22,류지혁,23K삼3B, 522 , 522 , 25 , 80.7 , 4 , 25.0 , 7 , 13.7 , 11 , 32.4 , 7 , 53.9 , 25 , 25.5 , 9 , 22.5 , 12 , 66.7 , 3 , 100.0 , 24 , 39.3 , 49 , 30.8 , 1 
23,구자욱,23삼RF, 515 , 515 , 17 , 73.9 , 13 , 59.1 , 12 , 15.4 , 15 , 34.9 , 3 , 33.3 , 30 , 23.1 , 13 , 31.7 , 15 , 53.6 , 5 , 45.5 , 33 , 41.3 , 63 , 30.0 , 0 
24,김상수,23KSS, 512 , 512 , 25 , 80.7 , 8 , 50.0 , 7 , 12.3 , 13 , 37.1 , 7 , 53.9 , 27 , 25.7 , 5 , 18.5 , 12 , 63.2 , 3 , 37.5 , 20 , 37.0 , 47 , 29.6 , -1 
25,양의지,23두C, 509 , 509 , 17 , 77.3 , 16 , 72.7 , 2 , 3.5 , 7 , 26.9 , 5 , 62.5 , 14 , 15.2 , 8 , 25.8 , 13 , 59.1 , 2 , 20.0 , 23 , 36.5 , 37 , 23.9 , -9 
,박민우,23N2B, 509 , 509 , 21 , 70.0 , 15 , 71.4 , 9 , 11.8 , 17 , 54.8 , 8 , 57.1 , 34 , 28.1 , 12 , 29.3 , 13 , 56.5 , 2 , 50.0 , 27 , 39.7 , 61 , 32.3 , 5 
27,최형우,23KDH, 508 , 508 , 14 , 58.3 , 16 , 72.7 , 6 , 9.1 , 7 , 24.1 , 6 , 37.5 , 19 , 17.1 , 10 , 29.4 , 19 , 82.6 , 4 , 50.0 , 33 , 50.8 , 52 , 29.6 , -2 
28,박찬호,23KSS, 507 , 507 , 23 , 85.2 , 2 , 66.7 , 7 , 12.7 , 6 , 31.6 , 7 , 70.0 , 20 , 23.8 , 6 , 19.4 , 11 , 50.0 , 1 , 16.7 , 18 , 30.5 , 38 , 26.6 , -5 
29,마틴,23NCF, 503 , 503 , 21 , 65.6 , 14 , 58.3 , 4 , 5.6 , 13 , 24.5 , 13 , 59.1 , 30 , 20.4 , 13 , 33.3 , 18 , 75.0 , 5 , 62.5 , 36 , 50.7 , 66 , 30.3 , 1 
,최지훈,23SCF, 503 , 503 , 17 , 68.0 , 13 , 86.7 , 9 , 13.0 , 15 , 46.9 , 6 , 42.9 , 30 , 26.1 , 5 , 15.6 , 4 , 36.4 , 1 , 14.3 , 10 , 20.0 , 40 , 24.2 , -5 
31,오지환,23LSS, 502 , 502 , 18 , 78.3 , 9 , 81.8 , 6 , 10.3 , 13 , 41.9 , 6 , 66.7 , 25 , 25.5 , 12 , 44.4 , 14 , 82.4 , 5 , 50.0 , 31 , 57.4 , 56 , 36.8 , 11 
32,강민호,23삼C, 495 , 495 , 20 , 60.6 , 11 , 61.1 , 8 , 12.5 , 14 , 37.8 , 10 , 52.6 , 32 , 26.7 , 12 , 30.8 , 16 , 76.2 , 3 , 75.0 , 31 , 48.4 , 63 , 34.2 , 8 
33,안치홍,23롯2B, 494 , 494 , 21 , 67.7 , 6 , 60.0 , 5 , 8.6 , 6 , 27.3 , 8 , 44.4 , 19 , 19.4 , 8 , 25.0 , 16 , 80.0 , 2 , 22.2 , 26 , 42.6 , 45 , 28.3 , -4 
34,박병호,23K1B, 493 , 493 , 22 , 71.0 , 15 , 51.7 , 8 , 15.1 , 10 , 24.4 , 11 , 55.0 , 29 , 25.4 , 13 , 38.2 , 24 , 75.0 , 3 , 50.0 , 40 , 55.6 , 69 , 37.1 , 8 
35,김재환,23두DH, 484 , 484 , 9 , 60.0 , 7 , 100.0 , 7 , 10.6 , 11 , 40.7 , 3 , 33.3 , 21 , 20.6 , 10 , 34.5 , 10 , 71.4 , 1 , 33.3 , 21 , 45.7 , 42 , 28.4 , 2 
36,박동원,23LC, 481 , 481 , 28 , 68.3 , 3 , 23.1 , 7 , 14.6 , 7 , 17.1 , 16 , 57.1 , 30 , 25.6 , 12 , 50.0 , 10 , 90.9 , 3 , 37.5 , 25 , 58.1 , 55 , 34.4 , 6 
,문현빈,23한CF, 481 , 481 , 28 , 75.7 , 10 , 83.3 , 5 , 10.4 , 12 , 37.5 , 7 , 46.7 , 24 , 25.3 , 1 , 4.6 , 5 , 38.5 , 7 , 77.8 , 13 , 29.6 , 37 , 26.6 , -4 
38,김현준,23삼CF, 479 , 479 , 23 , 76.7 , 5 , 50.0 , 13 , 21.3 , 9 , 29.0 , 8 , 57.1 , 30 , 28.3 , 5 , 17.9 , 9 , 56.3 , 1 , 50.0 , 15 , 32.6 , 45 , 29.6 , 1 
39,최주환,23S2B, 478 , 478 , 13 , 54.2 , 11 , 68.8 , 10 , 14.9 , 8 , 25.0 , 7 , 38.9 , 25 , 21.4 , 2 , 15.4 , 7 , 63.6 , 2 , 16.7 , 11 , 30.6 , 36 , 23.5 , -8 
40,허경민,23두3B, 475 , 475 , 16 , 72.7 , 9 , 64.3 , 4 , 7.6 , 6 , 19.4 , 5 , 50.0 , 15 , 16.0 , 9 , 45.0 , 6 , 60.0 , 7 , 70.0 , 22 , 55.0 , 37 , 27.6 , -1 
41,김주원,23NSS, 474 , 474 , 22 , 64.7 , 7 , 38.9 , 5 , 9.6 , 8 , 23.5 , 6 , 35.3 , 19 , 18.5 , 8 , 30.8 , 7 , 43.8 , 2 , 40.0 , 17 , 36.2 , 36 , 24.0 , -9 
42,김선빈,23K2B, 472 , 472 , 21 , 65.6 , 15 , 62.5 , 3 , 6.4 , 10 , 27.0 , 8 , 53.3 , 21 , 21.2 , 10 , 23.8 , 15 , 53.6 , 1 , 25.0 , 26 , 35.1 , 47 , 27.2 , -10 
43,장성우,23KC, 464 , 464 , 20 , 57.1 , 6 , 60.0 , 6 , 10.5 , 9 , 39.1 , 11 , 47.8 , 26 , 25.2 , 5 , 16.7 , 14 , 77.8 , 6 , 66.7 , 25 , 43.9 , 51 , 31.9 , 2 
,로하스,23두LF, 464 , 464 , 10 , 47.6 , 8 , 50.0 , 6 , 10.7 , 11 , 32.4 , 5 , 31.3 , 22 , 20.8 , 8 , 29.6 , 6 , 54.6 , 6 , 42.9 , 20 , 38.5 , 42 , 26.6 , -5 
45,추신수,23SDH, 462 , 462 , 6 , 37.5 , 5 , 100.0 , 5 , 14.3 , 8 , 40.0 , 4 , 33.3 , 17 , 25.4 , 2 , 12.5 , 9 , 81.8 , 2 , 100.0 , 13 , 44.8 , 30 , 31.3 , 1 
46,정은원,23한2B, 459 , 459 , 15 , 71.4 , 6 , 54.6 , 8 , 15.1 , 11 , 39.3 , 4 , 40.0 , 23 , 25.3 , 7 , 25.9 , 6 , 54.6 , 3 , 100.0 , 16 , 39.0 , 39 , 29.6 , 2 
47,강승호,23두2B, 458 , 458 , 19 , 79.2 , 8 , 61.5 , 6 , 8.8 , 8 , 25.0 , 8 , 66.7 , 22 , 19.6 , 5 , 18.5 , 10 , 58.8 , 2 , 28.6 , 17 , 33.3 , 39 , 23.9 , -8 
48,황재균,23K3B, 457 , 457 , 15 , 68.2 , 16 , 94.1 , 7 , 11.5 , 14 , 51.9 , 4 , 40.0 , 25 , 25.5 , 4 , 10.5 , 17 , 70.8 , 0 , 0.0 , 21 , 30.9 , 46 , 27.7 , -3 
49,김민석,23롯CF, 454 , 454 , 22 , 68.8 , 2 , 25.0 , 4 , 8.9 , 7 , 21.9 , 5 , 33.3 , 16 , 17.4 , 6 , 21.4 , 8 , 47.1 , 2 , 28.6 , 16 , 30.8 , 32 , 22.2 , -13 
50,김민혁,23KRF, 448 , 448 , 19 , 76.0 , 4 , 66.7 , 3 , 6.8 , 11 , 40.7 , 9 , 64.3 , 23 , 27.1 , 9 , 31.0 , 5 , 38.5 , 4 , 57.1 , 18 , 36.7 , 41 , 30.6 , 2 
51,송성문,23키3B, 438 , 438 , 19 , 70.4 , 10 , 83.3 , 7 , 12.7 , 11 , 47.8 , 10 , 71.4 , 28 , 30.4 , 7 , 26.9 , 15 , 79.0 , 1 , 16.7 , 23 , 45.1 , 51 , 35.7 , 9 
52,서호철,23N3B, 435 , 435 , 17 , 58.6 , 12 , 70.6 , 6 , 9.4 , 10 , 37.0 , 6 , 33.3 , 22 , 20.2 , 5 , 18.5 , 13 , 61.9 , 1 , 20.0 , 19 , 35.9 , 41 , 25.3 , -7 
,김휘집,23키SS, 435 , 435 , 19 , 70.4 , 7 , 50.0 , 1 , 1.8 , 9 , 27.3 , 7 , 50.0 , 17 , 16.7 , 3 , 13.0 , 10 , 71.4 , 3 , 42.9 , 16 , 36.4 , 33 , 22.6 , -10 
54,윤동희,23롯RF, 423 , 423 , 17 , 63.0 , 5 , 45.5 , 4 , 9.5 , 6 , 20.0 , 9 , 50.0 , 19 , 21.1 , 9 , 30.0 , 7 , 50.0 , 3 , 60.0 , 19 , 38.8 , 38 , 27.3 , -5 
55,이진영,23한RF, 422 , 422 , 14 , 58.3 , 2 , 28.6 , 6 , 11.8 , 6 , 25.0 , 8 , 44.4 , 20 , 21.5 , 3 , 23.1 , 6 , 75.0 , 6 , 66.7 , 15 , 50.0 , 35 , 28.5 , 0 
56,최재훈,23한C, 417 , 417 , 16 , 72.7 , 5 , 45.5 , 5 , 9.1 , 4 , 18.2 , 5 , 45.5 , 14 , 15.9 , 7 , 29.2 , 7 , 70.0 , 5 , 83.3 , 19 , 47.5 , 33 , 25.8 , -2 
57,유강남,23롯C, 403 , 403 , 17 , 60.7 , 8 , 66.7 , 9 , 18.8 , 6 , 26.1 , 7 , 43.8 , 22 , 25.3 , 5 , 23.8 , 11 , 78.6 , 3 , 50.0 , 19 , 46.3 , 41 , 32.0 , 3 
58,이우성,23KRF, 400 , 400 , 23 , 88.5 , 5 , 50.0 , 3 , 7.7 , 6 , 27.3 , 9 , 75.0 , 18 , 24.7 , 6 , 18.8 , 15 , 88.2 , 4 , 44.4 , 25 , 43.1 , 43 , 32.8 , 1 
59,노진혁,23롯SS, 390 , 390 , 16 , 61.5 , 2 , 40.0 , 5 , 13.5 , 8 , 30.8 , 5 , 33.3 , 18 , 23.1 , 7 , 35.0 , 7 , 63.6 , 6 , 50.0 , 20 , 46.5 , 38 , 31.4 , 1 
60,한유섬,23SRF, 388 , 388 , 15 , 60.0 , 1 , 16.7 , 7 , 14.0 , 2 , 7.4 , 7 , 43.8 , 16 , 17.2 , 9 , 30.0 , 18 , 72.0 , 5 , 71.4 , 32 , 51.6 , 48 , 31.0 , -2 
61,이정후,23키CF, 387 , 387 , 14 , 87.5 , 7 , 58.3 , 4 , 8.9 , 14 , 48.3 , 7 , 77.8 , 25 , 30.1 , 6 , 23.1 , 9 , 60.0 , 4 , 44.4 , 19 , 38.0 , 44 , 33.1 , 4 
62,김도영,23K3B, 385 , 385 , 12 , 57.1 , 6 , 46.2 , 3 , 8.3 , 5 , 26.3 , 6 , 42.9 , 14 , 20.3 , 7 , 30.4 , 12 , 70.6 , 2 , 40.0 , 21 , 46.7 , 35 , 30.7 , -2 
63,이형종,23키RF, 374 , 374 , 8 , 47.1 , 5 , 45.5 , 3 , 7.1 , 3 , 13.6 , 2 , 22.2 , 8 , 11.0 , 5 , 33.3 , 7 , 53.9 , 3 , 37.5 , 15 , 41.7 , 23 , 21.1 , -9 
64,권희동,23NLF, 373 , 373 , 23 , 82.1 , 2 , 28.6 , 3 , 7.9 , 2 , 11.1 , 8 , 61.5 , 13 , 18.8 , 4 , 17.4 , 12 , 75.0 , 5 , 83.3 , 21 , 46.7 , 34 , 29.8 , -3 
65,김인환,23한1B, 365 , 365 , 8 , 61.5 , 13 , 68.4 , 4 , 7.7 , 6 , 30.0 , 6 , 54.6 , 16 , 19.3 , 6 , 30.0 , 7 , 70.0 , 5 , 83.3 , 18 , 50.0 , 34 , 28.6 , 1 
66,오재일,23삼1B, 364 , 364 , 9 , 42.9 , 3 , 20.0 , 1 , 1.8 , 5 , 15.6 , 4 , 25.0 , 10 , 9.7 , 5 , 33.3 , 8 , 80.0 , 4 , 66.7 , 17 , 54.8 , 27 , 20.2 , -10 
67,배정대,23KCF, 361 , 361 , 15 , 65.2 , 0 , 0.0 , 7 , 14.6 , 3 , 15.0 , 5 , 38.5 , 15 , 18.5 , 2 , 8.3 , 9 , 90.0 , 2 , 100.0 , 13 , 36.1 , 28 , 23.9 , -5 
68,김지찬,23삼2B, 355 , 355 , 15 , 55.6 , 4 , 66.7 , 2 , 5.9 , 6 , 33.3 , 3 , 21.4 , 11 , 16.7 , 4 , 20.0 , 5 , 31.3 , 0 ,  , 9 , 25.0 , 20 , 19.6 , -13 
69,김성현,23S2B, 354 , 354 , 20 , 69.0 , 3 , 60.0 , 8 , 21.1 , 7 , 36.8 , 2 , 20.0 , 17 , 25.4 , 3 , 15.0 , 9 , 56.3 , 2 , 100.0 , 14 , 36.8 , 31 , 29.5 , -2 
70,한동희,23롯3B, 353 , 353 , 14 , 60.9 , 7 , 63.6 , 6 , 10.9 , 5 , 21.7 , 6 , 50.0 , 17 , 18.9 , 4 , 20.0 , 10 , 83.3 , 1 , 20.0 , 15 , 40.5 , 32 , 25.2 , -4 
71,이도윤,23한SS, 346 , 346 , 18 , 75.0 , 4 , 57.1 , 5 , 11.9 , 7 , 28.0 , 1 , 16.7 , 13 , 17.8 , 1 , 7.1 , 2 , 33.3 , 0 , 0.0 , 3 , 12.5 , 16 , 16.5 , -11 
,김태군,23삼KC, 346 , 346 , 23 , 79.3 , 2 , 66.7 , 4 , 9.8 , 4 , 25.0 , 4 , 44.4 , 12 , 18.2 , 5 , 16.1 , 11 , 50.0 , 3 , 75.0 , 19 , 33.3 , 31 , 25.2 , -9 
73,이원석,23삼키1B, 345 , 345 , 9 , 42.9 , 6 , 66.7 , 4 , 7.6 , 2 , 11.1 , 3 , 21.4 , 9 , 10.6 , 5 , 19.2 , 12 , 66.7 , 0 , 0.0 , 17 , 35.4 , 26 , 19.6 , -14 
74,박승욱,23롯2B, 338 , 338 , 19 , 79.2 , 7 , 87.5 , 0 , 0.0 , 7 , 46.7 , 3 , 37.5 , 10 , 20.0 , 6 , 27.3 , 5 , 41.7 , 2 , 25.0 , 13 , 31.0 , 23 , 25.0 , -6 
75,신민재,23L2B, 331 , 331 , 27 , 79.4 , 11 , 84.6 , 8 , 21.6 , 10 , 45.5 , 5 , 41.7 , 23 , 32.4 , 2 , 10.5 , 9 , 39.1 , 0 , 0.0 , 11 , 25.6 , 34 , 29.8 , -3 
76,문상철,23KDH, 330 , 330 , 15 , 65.2 , 4 , 21.1 , 3 , 5.3 , 6 , 17.1 , 8 , 50.0 , 17 , 15.7 , 2 , 11.1 , 7 , 70.0 , 2 , 33.3 , 11 , 32.4 , 28 , 19.7 , -11 
77,김민식,23SC, 318 , 318 , 25 , 80.7 , 4 , 66.7 , 5 , 15.2 , 9 , 37.5 , 3 , 37.5 , 17 , 26.2 , 4 , 30.8 , 9 , 75.0 , 0 , 0.0 , 13 , 50.0 , 30 , 33.0 , 3 
78,김민성,23L2B, 316 , 316 , 18 , 62.1 , 4 , 44.4 , 5 , 12.5 , 4 , 18.2 , 5 , 35.7 , 14 , 18.4 , 5 , 23.8 , 10 , 66.7 , 2 , 100.0 , 17 , 44.7 , 31 , 27.2 , -4 
79,안권수,23롯LF, 309 , 309 , 18 , 78.3 , 7 , 58.3 , 4 , 12.1 , 7 , 31.8 , 3 , 37.5 , 14 , 22.2 , 3 , 18.8 , 8 , 40.0 , 1 , 100.0 , 12 , 32.4 , 26 , 26.0 , -7 
80,고승민,23롯1B, 307 , 307 , 13 , 72.2 , 2 , 25.0 , 6 , 20.0 , 7 , 35.0 , 5 , 50.0 , 18 , 30.0 , 4 , 33.3 , 4 , 44.4 , 1 , 33.3 , 9 , 37.5 , 27 , 32.1 , 3 
81,오태곤,23S1B, 305 , 305 , 16 , 59.3 , 3 , 50.0 , 8 , 17.4 , 3 , 13.6 , 5 , 35.7 , 16 , 19.5 , 1 , 9.1 , 5 , 55.6 , 1 , 20.0 , 7 , 28.0 , 23 , 21.5 , -8 
82,김재호,23두SS, 302 , 302 , 21 , 63.6 , 5 , 62.5 , 5 , 13.9 , 3 , 15.0 , 3 , 27.3 , 11 , 16.4 , 5 , 41.7 , 6 , 50.0 , 2 , 33.3 , 13 , 43.3 , 24 , 24.7 , -5 
,도태훈,23N3B, 302 , 302 , 14 , 51.9 , 5 , 50.0 , 3 , 8.8 , 6 , 23.1 , 2 , 16.7 , 11 , 15.3 , 2 , 9.1 , 1 , 16.7 , 0 , 0.0 , 3 , 10.0 , 14 , 13.7 , -15 
84,고종욱,23KLF, 286 , 286 , 16 , 84.2 , 7 , 63.6 , 12 , 27.9 , 11 , 44.0 , 4 , 57.1 , 27 , 36.0 , 7 , 28.0 , 7 , 46.7 , 2 , 40.0 , 16 , 35.6 , 43 , 35.8 , 8 
85,이창진,23KLF, 284 , 284 , 10 , 71.4 , 2 , 20.0 , 4 , 10.8 , 2 , 14.3 , 3 , 42.9 , 9 , 15.5 , 2 , 10.5 , 3 , 50.0 , 2 , 28.6 , 7 , 21.9 , 16 , 17.8 , -8 
86,박세혁,23NC, 283 , 283 , 9 , 40.9 , 5 , 45.5 , 3 , 6.7 , 10 , 33.3 , 2 , 15.4 , 15 , 17.1 , 1 , 12.5 , 7 , 87.5 , 2 , 66.7 , 10 , 52.6 , 25 , 23.4 , -5 
87,김태연,23한RF, 280 , 280 , 7 , 46.7 , 7 , 77.8 , 2 , 7.7 , 5 , 35.7 , 4 , 36.4 , 11 , 21.6 , 6 , 37.5 , 5 , 55.6 , 3 , 100.0 , 14 , 50.0 , 25 , 31.7 , 0 
88,최원준,23K1B, 274 , 274 , 12 , 60.0 , 2 , 50.0 , 4 , 16.7 , 10 , 55.6 , 2 , 22.2 , 16 , 31.4 , 8 , 53.3 , 9 , 81.8 , 1 , 50.0 , 18 , 64.3 , 34 , 43.0 , 9 
89,윌리엄스,23한LF, 273 , 273 , 8 , 50.0 , 6 , 66.7 , 0 , 0.0 , 7 , 26.9 , 4 , 33.3 , 11 , 15.5 , 6 , 46.2 , 9 , 64.3 , 4 , 57.1 , 19 , 55.9 , 30 , 28.6 , -4 
90,김성윤,23삼RF, 272 , 272 , 14 , 82.4 , 4 , 66.7 , 5 , 13.9 , 8 , 61.5 , 6 , 66.7 , 19 , 32.8 , 2 , 10.5 , 6 , 60.0 , 0 ,  , 8 , 27.6 , 27 , 31.0 , 3 
91,강백호,23KDH, 271 , 271 , 8 , 61.5 , 3 , 30.0 , 3 , 8.8 , 4 , 23.5 , 4 , 44.4 , 11 , 18.3 , 5 , 45.5 , 7 , 70.0 , 1 , 50.0 , 13 , 56.5 , 24 , 28.9 , 0 
92,도슨,23키CF, 261 , 261 , 8 , 66.7 , 4 , 28.6 , 5 , 11.1 , 8 , 32.0 , 5 , 55.6 , 18 , 22.8 , 7 , 28.0 , 10 , 76.9 , 1 , 16.7 , 18 , 40.9 , 36 , 29.3 , 0 
93,나성범,23KRF, 253 , 253 , 10 , 83.3 , 6 , 54.6 , 3 , 14.3 , 7 , 41.2 , 6 , 75.0 , 16 , 34.8 , 4 , 28.6 , 8 , 80.0 , 4 , 80.0 , 16 , 55.2 , 32 , 42.7 , 9 
94,조수행,23두RF, 249 , 249 , 11 , 68.8 , 0 , 0.0 , 2 , 6.7 , 5 , 38.5 , 4 , 44.4 , 11 , 21.2 , 5 , 35.7 , 2 , 28.6 , 0 ,  , 7 , 33.3 , 18 , 24.7 , -2 
95,임지열,23키1B, 246 , 246 , 9 , 56.3 , 9 , 75.0 , 4 , 12.1 , 4 , 21.1 , 2 , 22.2 , 10 , 16.4 , 1 , 10.0 , 3 , 33.3 , 1 , 33.3 , 5 , 22.7 , 15 , 18.1 , -10 
96,이주형,23L키CF, 243 , 243 , 9 , 56.3 , 7 , 58.3 , 6 , 14.0 , 5 , 33.3 , 3 , 33.3 , 14 , 20.9 , 4 , 26.7 , 6 , 66.7 , 1 , 14.3 , 11 , 35.5 , 25 , 25.5 , -3 
97,김동헌,23키C, 242 , 242 , 7 , 58.3 , 3 , 42.9 , 3 , 8.3 , 2 , 11.1 , 4 , 57.1 , 9 , 14.8 , 2 , 12.5 , 4 , 80.0 , 0 , 0.0 , 6 , 27.3 , 15 , 18.1 , -7 
98,강한울,23삼3B, 240 , 240 , 9 , 47.4 , 3 , 50.0 , 3 , 9.7 , 6 , 28.6 , 2 , 18.2 , 11 , 17.5 , 1 , 11.1 , 1 , 33.3 , 0 ,  , 2 , 16.7 , 13 , 17.3 , -8 
99,러셀,23키SS, 239 , 239 , 8 , 80.0 , 5 , 55.6 , 3 , 9.1 , 5 , 31.3 , 3 , 60.0 , 11 , 20.4 , 5 , 29.4 , 7 , 58.3 , 7 , 87.5 , 19 , 51.4 , 30 , 33.0 , 2 
