순,이름,팀/포지션,정렬용,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루상황_좌,도루상황_2,도루상황_3,도루상황_4,도실상황_좌,도실상황_2,도실상황_3,도실상황_4,도루%상황_좌,도루%상황_2,도루%상황_3,도루%상황_4,무관심도루,견제아웃,폭투진루,포일진루,견제실책
,김서현,23한P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김정우,23두P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,한재승,23NP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박명근,23LP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,임창민,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,윤정현,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이승현,23삼P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,오승환,23삼P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김기훈,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,고우석,23LP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,노경은,23SP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김재웅,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,최영환,23롯P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,오석주,23LP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,고효준,23SP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김서준,23삼P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이재익,23삼P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김민,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이채호,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,문승원,23SP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,양현,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,채지선,23LP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,황동하,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,최민준,23SP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박신지,23두P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이태양,23한P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,백승건,23SP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김태훈,23삼P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,윤대경,23한P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박준영,23한P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이명종,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김동혁,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,류진욱,23NP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,홍건희,23두P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이형범,23두P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김성진,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,윤중현,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박준표,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김준형,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,문성현,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,최승용,23두P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이정용,23LP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김대우,23삼P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이상동,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김민규,23두P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김상수,23롯P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박영현,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이용찬,23NP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박정수,23두P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이건욱,23SP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이승현,23삼P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김영현,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박치국,23두P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김민수,23삼C, 0.00 , 1 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,윤도현,23K3B, 0.00 , 1 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이상민,23삼P, 0.00 , 1 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,전사민,23NP, 0.00 , 1 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,전준호,23LC, 0.00 , 1 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,권민석,23두SS, 0.00 , 2 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,고명준,23S1B, 0.00 , 4 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,송대현,23LSS, 0.00 , 3 , 0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김건웅,23S1B, 0.00 , 3 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,장지승,23한, 0.00 , 3 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김헌곤,23삼, 0.00 , 4 , 0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이승원,23키SS, 0.00 , 5 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,허관회,23한C, 0.00 , 7 , 0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
179,이민준,23한SS, -0.00 , 2 , -0.00 , 0 , 0 ,  , 2 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이재용,23한C, -0.00 , 2 , -0.00 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,문상인,23KC, -0.00 , 1 , -0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,조현진,23NSS, -0.00 , 5 , -0.00 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김정민,23SRF, -0.00 , 2 , -0.00 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,류효승,23SDH, -0.00 , 4 , -0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,송재선,23키RF, -0.00 , 3 , -0.00 , 0 , 0 ,  , 2 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박민석,23KSS, -0.00 , 4 , -0.00 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김선우,23KC, -0.00 , 7 , -0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,윤수녕,23롯RF, -0.00 , 4 , -0.00 , 0 , 0 ,  , 2 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,지시완,23롯C, -0.00 , 10 , -0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김병희,23K3B, -0.00 , 9 , -0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,문상준,23K2B, -0.00 , 5 , -0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김재현,23키C, -0.00 , 10 , -0.00 , 0 , 0 ,  , 2 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
193,문상철,23KDH, -0.00 , 330 , -0.00 , 3 , 1 , 75.0 , 107 , 3.7 , 2 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 100.0 , 75.0 ,  ,  , 0 , 0 , 3 , 2 , 1 
194,박대온,23NC, -0.01 , 6 , -0.01 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박유연,23두C, -0.01 , 16 , -0.01 , 0 , 0 ,  , 5 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,오장한,23NRF, -0.01 , 8 , -0.01 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,송준석,23삼LF, -0.01 , 8 , -0.01 , 0 , 0 ,  , 2 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 1 , 0 , 0 
,김도환,23삼C, -0.01 , 8 , -0.01 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,유상빈,23한DH, -0.01 , 8 , -0.01 , 0 , 0 ,  , 2 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,서예일,23두2B, -0.01 , 10 , -0.01 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이흥련,23SC, -0.01 , 17 , -0.01 , 0 , 0 ,  , 2 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김상민,23삼LF, -0.01 , 13 , -0.01 , 0 , 0 ,  , 5 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박주찬,23N3B, -0.01 , 14 , -0.01 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김건,23한DH, -0.01 , 12 , -0.01 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 1 , 0 , 0 
,김범석,23L1B, -0.01 , 29 , -0.01 , 0 , 0 ,  , 5 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김병휘,23키2B, -0.01 , 21 , -0.01 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
207,이주형,23L키CF, -0.01 , 243 , -0.01 , 3 , 1 , 75.0 , 107 , 3.7 , 1 , 2 , 1 , 0 , 0 , 1 , 0 , 0 , 100.0 , 66.7 , 100.0 ,  , 0 , 1 , 1 , 1 , 1 
208,이천웅,23L, -0.01 , 3 , -0.01 , 0 , 0 ,  , 3 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박정우,23KRF, -0.01 , 12 , -0.01 , 0 , 0 ,  , 13 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 2 , 0 , 0 
,김주성,23LSS, -0.01 , 7 , -0.01 , 0 , 0 ,  , 9 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,손민석,23K2B, -0.01 , 12 , -0.01 , 0 , 0 ,  , 6 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이태훈,23삼1B, -0.01 , 14 , -0.01 , 0 , 0 ,  , 7 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박준태,23키RF, -0.01 , 15 , -0.01 , 0 , 0 ,  , 8 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이성곤,23한DH, -0.01 , 16 , -0.01 , 0 , 0 ,  , 5 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,신준우,23키SS, -0.01 , 19 , -0.01 , 0 , 0 ,  , 8 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
216,홍종표,23K2B, -0.01 , 12 , -0.01 , 0 , 0 ,  , 26 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 2 , 1 , 0 
,국해성,23롯DH, -0.01 , 10 , -0.01 , 0 , 0 ,  , 4 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,장운호,23한RF, -0.01 , 11 , -0.01 , 0 , 0 ,  , 4 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 1 , 0 , 0 
,김건희,23키1B, -0.01 , 13 , -0.01 , 0 , 0 ,  , 4 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 1 , 0 , 0 
,김재상,23삼, -0.01 , 22 , -0.01 , 0 , 0 ,  , 7 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김수윤,23N3B, -0.01 , 15 , -0.01 , 0 , 0 ,  , 5 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이병규,23키1B, -0.01 , 17 , -0.01 , 0 , 0 ,  , 6 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,서동욱,23롯RF, -0.01 , 20 , -0.01 , 0 , 0 ,  , 5 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 1 , 0 , 0 
,류현인,23K3B, -0.01 , 24 , -0.01 , 0 , 0 ,  , 10 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 1 , 0 , 0 
,김석환,23K1B, -0.01 , 26 , -0.01 , 0 , 0 ,  , 6 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,주효상,23KC, -0.01 , 36 , -0.01 , 0 , 0 ,  , 6 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
227,이재원,23SC, -0.01 , 48 , -0.01 , 0 , 0 ,  , 6 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
228,박한결,23NLF, -0.02 , 18 , -0.02 , 0 , 0 ,  , 7 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,오선우,23K1B, -0.02 , 31 , -0.02 , 0 , 0 ,  , 9 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,하주석,23한SS, -0.02 , 38 , -0.02 , 0 , 0 ,  , 12 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,공민규,23삼3B, -0.02 , 33 , -0.02 , 0 , 0 ,  , 8 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 1 , 0 , 0 
,예진원,23키LF, -0.02 , 36 , -0.02 , 0 , 0 ,  , 10 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
233,강민성,23K3B, -0.02 , 27 , -0.02 , 0 , 0 ,  , 9 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박대온,23NC, -0.02 , 27 , -0.02 , 0 , 0 ,  , 9 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,최보성,23N3B, -0.02 , 21 , -0.02 , 0 , 0 ,  , 7 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,안익훈,23LRF, -0.02 , 23 , -0.02 , 0 , 0 ,  , 11 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이병헌,23삼C, -0.02 , 33 , -0.02 , 0 , 0 ,  , 9 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이정범,23SDH, -0.02 , 33 , -0.02 , 0 , 0 ,  , 9 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
