순,이름,팀/포지션,정렬용,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루상황_좌,도루상황_2,도루상황_3,도루상황_4,도실상황_좌,도실상황_2,도실상황_3,도실상황_4,도루%상황_좌,도루%상황_2,도루%상황_3,도루%상황_4,무관심도루,견제아웃,폭투진루,포일진루,견제실책
20,배정대,23KCF, 1.05 , 361 , 1.05 , 13 , 3 , 81.3 , 138 , 11.6 , 2 , 9 , 4 , 0 , 0 , 3 , 0 , 0 , 100.0 , 75.0 , 100.0 ,  , 0 , 0 , 6 , 1 , 0 
21,손아섭,23NDH, 1.02 , 609 , 1.02 , 14 , 3 , 82.4 , 263 , 6.5 , 5 , 13 , 1 , 0 , 0 , 2 , 1 , 0 , 100.0 , 86.7 , 50.0 ,  , 0 , 1 , 13 , 1 , 0 
22,안치영,23KRF, 0.87 , 136 , 0.87 , 7 , 1 , 87.5 , 65 , 12.3 , 3 , 6 , 1 , 0 , 0 , 1 , 0 , 0 , 100.0 , 85.7 , 100.0 ,  , 0 , 0 , 2 , 0 , 0 
23,이우성,23KRF, 0.87 , 400 , 0.87 , 8 , 1 , 88.9 , 153 , 5.9 , 3 , 6 , 2 , 0 , 1 , 1 , 0 , 0 , 75.0 , 85.7 , 100.0 ,  , 0 , 0 , 7 , 0 , 1 
24,최정용,23K2B, 0.78 , 41 , 0.78 , 4 , 0 , 100.0 , 37 , 10.8 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 3 , 1 , 0 
25,이창진,23KLF, 0.74 , 284 , 0.74 , 9 , 2 , 81.8 , 116 , 9.5 , 2 , 8 , 1 , 0 , 1 , 2 , 0 , 0 , 66.7 , 80.0 , 100.0 ,  , 0 , 0 , 0 , 0 , 1 
26,도슨,23키CF, 0.73 , 261 , 0.73 , 9 , 2 , 81.8 , 115 , 9.6 , 2 , 8 , 1 , 0 , 0 , 2 , 0 , 0 , 100.0 , 80.0 , 100.0 ,  , 0 , 0 , 6 , 0 , 0 
27,이도윤,23한SS, 0.72 , 346 , 0.72 , 11 , 3 , 78.6 , 121 , 11.6 , 0 , 11 , 0 , 0 , 2 , 3 , 0 , 0 , 0.0 , 78.6 ,  ,  , 0 , 0 , 4 , 3 , 0 
28,이진영,23한RF, 0.70 , 422 , 0.70 , 5 , 0 , 100.0 , 161 , 3.1 , 2 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 1 , 2 , 0 , 2 
29,임병욱,23키RF, 0.67 , 223 , 0.67 , 4 , 0 , 100.0 , 73 , 5.5 , 0 , 2 , 2 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 , 100.0 ,  , 0 , 0 , 2 , 1 , 0 
30,김성욱,23NLF, 0.66 , 204 , 0.66 , 6 , 1 , 85.7 , 77 , 9.1 , 1 , 5 , 1 , 0 , 0 , 1 , 0 , 0 , 100.0 , 83.3 , 100.0 ,  , 0 , 1 , 3 , 0 , 0 
31,조용호,23KRF, 0.64 , 184 , 0.64 , 4 , 0 , 100.0 , 74 , 5.4 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 0 , 1 , 0 
32,김재호,23두SS, 0.56 , 302 , 0.56 , 4 , 0 , 100.0 , 114 , 3.5 , 3 , 3 , 0 , 1 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  , 100.0 , 0 , 0 , 5 , 0 , 1 
